Produção - feijão
Sigla;Código;Município;2017;2018;2019;2020;2021;2022;2023;
GO;5218904;Rubiataba;0;0;0;0;0;;;
GO;5219001;Sanclerlândia;0;0;0;0;0;;;
GO;5219100;Santa Bárbara de Goiás;0;0;0;0;0;;;
GO;5219209;Santa Cruz de Goiás;240;230;210;240;227;115;115;
GO;5219258;Santa Fé de Goiás;1651;2940;3360;3108;3108;1036;2200;
GO;5219308;Santa Helena de Goiás;1905;1710;2640;3960;3200;200;600;
GO;5219357;Santa Isabel;0;0;0;0;0;;;
GO;5219407;Santa Rita do Araguaia;0;0;0;0;0;;;
GO;5219456;Santa Rita do Novo Destino;0;0;0;0;0;;;
GO;5219506;Santa Rosa de Goiás;350;333;0;0;0;;;
GO;5219605;Santa Tereza de Goiás;0;0;0;0;0;;;
GO;5219704;Santa Terezinha de Goiás;0;0;0;0;0;;;
GO;5219712;Santo Antônio da Barra;0;0;0;0;0;;;
GO;5219738;Santo Antônio de Goiás;0;0;0;0;0;;;
GO;5219753;Santo Antônio do Descoberto;315;440;600;600;833;300;700;
GO;5219803;São Domingos;5;18;0;0;0;;;
GO;5219902;São Francisco de Goiás;0;0;0;0;0;;;
GO;5220009;São João d'Aliança;18340;21400;31510;25500;21381;8800;8778;
GO;5220058;São João da Paraúna;376;404;420;376;990;14;;
GO;5220108;São Luís de Montes Belos;0;0;0;0;0;;;
GO;5220157;São Luíz do Norte;0;0;0;0;0;;;
GO;5220207;São Miguel do Araguaia;0;0;0;0;0;;;
GO;5220264;São Miguel do Passa Quatro;844;666;687;699;630;250;290;
GO;5220280;São Patrício;0;0;0;0;0;;;
GO;5220405;São Simão;0;0;0;0;0;;;
GO;5220454;Senador Canedo;0;0;0;0;0;;;
GO;5220504;Serranópolis;0;0;0;0;0;;;
GO;5220603;Silvânia;9900;7320;6780;6433;6980;2900;3200;
GO;5220686;Simolândia;480;0;0;66;0;;166;
GO;5220702;Sítio d'Abadia;358;968;793;883;1036;1075;400;
GO;5221007;Taquaral de Goiás;0;0;0;0;0;;;
GO;5221080;Teresina de Goiás;31;0;0;0;0;;;
GO;5221197;Terezópolis de Goiás;0;0;0;0;0;;;
GO;5221304;Três Ranchos;0;0;0;0;0;;;
GO;5221403;Trindade;0;0;135;110;0;;;
GO;5221452;Trombas;0;0;0;0;0;;;
GO;5221502;Turvânia;0;0;0;0;0;;;
GO;5221551;Turvelândia;1080;1050;960;960;960;300;300;
GO;5221577;Uirapuru;0;0;0;0;0;;;
GO;5221601;Uruaçu;405;0;0;0;0;;;
GO;5221700;Uruana;750;938;939;938;938;305;120;
GO;5221809;Urutaí;0;0;0;0;0;;;
GO;5221858;Valparaíso de Goiás;0;0;0;0;0;;;
GO;5221908;Varjão;0;0;0;0;0;;;
GO;5222005;Vianópolis;1868;1530;1800;1868;1870;1630;3550;
GO;5222054;Vicentinópolis;3000;2800;1500;1705;465;130;90;
GO;5222203;Vila Boa;90;1050;0;0;0;;;
GO;5222302;Vila Propício;0;0;0;0;0;;185;
MA;2100055;Açailândia;76;97;104;101;106;186;193;
MA;2100105;Afonso Cunha;18;18;15;18;22;80;77;
MA;2100154;Água Doce do Maranhão;189;55;18;17;15;34;38;
MA;2100204;Alcântara;68;76;78;75;63;83;86;
MA;2100303;Aldeias Altas;27;29;25;28;31;110;107;
MA;2100402;Altamira do Maranhão;353;234;108;118;130;225;248;
MA;2100436;Alto Alegre do Maranhão;22;26;38;49;59;123;102;
MA;2100477;Alto Alegre do Pindaré;163;170;58;62;51;125;276;
MA;2100501;Alto Parnaíba;1159;789;1383;950;918;1232;1239;
MA;2100550;Amapá do Maranhão;99;39;33;31;33;70;70;
MA;2100600;Amarante do Maranhão;102;75;75;78;80;223;183;
MA;2100709;Anajatuba;15;19;5;5;6;20;22;
MA;2100808;Anapurus;176;304;198;163;122;111;105;
MA;2100832;Apicum-Açu;5;6;5;4;5;9;11;
MA;2100873;Araguanã;95;82;45;54;33;99;90;
MA;2100907;Araioses;857;270;143;134;111;237;271;
MA;2100956;Arame;106;107;91;107;99;280;118;
MA;2101004;Arari;77;121;26;25;28;60;65;
MA;2101103;Axixá;15;13;10;9;8;17;16;
MA;2101202;Bacabal;325;201;230;247;372;637;255;
MA;2101251;Bacabeira;21;22;14;12;11;21;19;
MA;2101301;Bacuri;15;13;13;12;12;16;15;
MA;2101350;Bacurituba;13;11;11;8;7;12;14;
MA;2101400;Balsas;8053;3347;5083;4720;4698;5700;5755;
MA;2101509;Barão de Grajaú;119;112;115;77;87;216;207;
MA;2101608;Barra do Corda;1107;1118;260;274;267;683;463;
MA;2101707;Barreirinhas;158;184;94;97;100;275;250;
MA;2101731;Belágua;220;212;104;69;35;16;17;
MA;2101772;Bela Vista do Maranhão;78;82;38;36;29;71;74;
MA;2101806;Benedito Leite;115;110;104;439;368;578;563;
MA;2101905;Bequimão;139;117;115;71;58;98;100;
MA;2101939;Bernardo do Mearim;162;162;163;89;79;160;159;
MA;2101970;Boa Vista do Gurupi;81;45;21;17;19;42;42;
MA;2102002;Bom Jardim;293;298;176;191;139;375;384;
MA;2102036;Bom Jesus das Selvas;40;39;24;25;17;49;65;
MA;2102077;Bom Lugar;131;202;182;159;116;220;300;
MA;2102101;Brejo;189;218;100;94;82;120;110;
MA;2102150;Brejo de Areia;80;98;104;97;98;200;209;
MA;2102200;Buriti;223;255;130;115;87;193;185;
MA;2102309;Buriti Bravo;202;213;239;275;273;760;765;
MA;2102325;Buriticupu;540;462;160;171;116;370;390;
MA;2102358;Buritirana;27;29;44;55;73;107;100;
MA;2102374;Cachoeira Grande;17;16;18;15;14;27;20;
MA;2102408;Cajapió;6;8;4;3;3;8;7;
MA;2102507;Cajari;7;10;5;3;3;7;8;
MA;2102556;Campestre do Maranhão;13;17;15;9;11;25;28;
MA;2102606;Cândido Mendes;182;151;13;17;15;33;33;
MA;2102705;Cantanhede;381;393;107;101;105;285;290;
MA;2102754;Capinzal do Norte;123;127;130;136;93;175;181;
MA;2102804;Carolina;281;184;148;163;163;238;245;
MA;2102903;Carutapera;110;111;9;12;13;28;28;
MA;2103000;Caxias;274;282;190;184;187;620;605;
MA;2103109;Cedral;28;27;25;15;14;21;17;
MA;2103125;Central do Maranhão;56;47;47;23;18;31;28;
MA;2103158;Centro do Guilherme;111;105;95;84;80;145;145;
MA;2103174;Centro Novo do Maranhão;136;143;95;81;83;170;170;
MA;2103208;Chapadinha;300;328;119;167;161;250;222;
MA;2103257;Cidelândia;20;20;19;18;19;35;32;
MA;2103307;Codó;119;123;101;105;106;340;330;
MA;2103406;Coelho Neto;45;44;30;28;32;116;105;
MA;2103505;Colinas;420;468;440;269;246;464;402;
MA;2103554;Conceição do Lago-Açu;156;173;128;134;177;270;275;
MA;2103604;Coroatá;104;102;92;98;95;300;295;
MA;2103703;Cururupu;14;14;13;11;11;20;24;
MA;2103752;Davinópolis;31;19;21;20;19;42;43;
MA;2103802;Dom Pedro;71;70;63;45;45;106;108;
MA;2103901;Duque Bacelar;15;17;18;18;21;75;85;
MA;2104008;Esperantinópolis;216;225;234;232;175;309;312;
MA;2104057;Estreito;16;30;34;34;32;69;79;
MA;2104073;Feira Nova do Maranhão;224;141;246;209;210;270;273;
MA;2104081;Fernando Falcão;134;148;61;65;63;204;203;
MA;2104099;Formosa da Serra Negra;53;47;68;59;62;173;165;
MA;2104107;Fortaleza dos Nogueiras;46;42;45;59;711;115;433;
MA;2104206;Fortuna;175;187;170;120;105;172;150;
MA;2104305;Godofredo Viana;93;12;8;9;11;22;22;
MA;2104404;Gonçalves Dias;139;189;185;131;133;310;313;
MA;2104503;Governador Archer;79;82;86;65;63;135;140;
MA;2104552;Governador Edison Lobão;13;14;15;12;13;21;26;
MA;2104602;Governador Eugênio Barros;133;135;123;87;81;162;140;
MA;2104628;Governador Luiz Rocha;141;132;134;93;82;133;113;
MA;2104651;Governador Newton Bello;94;85;78;68;52;130;132;
MA;2104677;Governador Nunes Freire;110;99;71;47;50;123;123;
MA;2104701;Graça Aranha;66;65;55;38;39;105;107;
MA;2104800;Grajaú;331;282;391;352;371;927;430;
MA;2104909;Guimarães;26;24;25;17;13;24;21;
MA;2105005;Humberto de Campos;28;31;9;10;9;18;16;
MA;2105104;Icatu;18;18;10;9;10;21;19;
MA;2105153;Igarapé do Meio;53;57;58;44;30;72;76;
MA;2105203;Igarapé Grande;166;168;31;40;34;91;95;
MA;2105302;Imperatriz;38;38;40;45;43;75;69;
MA;2105351;Itaipava do Grajaú;143;147;45;49;47;121;139;
MA;2105401;Itapecuru Mirim;164;169;186;174;187;333;336;
MA;2105427;Itinga do Maranhão;33;38;48;44;34;90;98;
MA;2105450;Jatobá;321;336;315;190;180;313;270;
MA;2105476;Jenipapo dos Vieiras;163;174;84;89;87;214;215;
MA;2105500;João Lisboa;28;24;27;23;21;34;30;
MA;2105609;Joselândia;75;76;80;70;55;102;108;
MA;2105658;Junco do Maranhão;70;46;36;28;21;48;48;
MA;2105708;Lago da Pedra;528;500;358;310;687;870;210;
MA;2105807;Lago do Junco;153;158;30;38;34;97;100;
MA;2105906;Lago Verde;170;181;111;113;117;212;221;
MA;2105922;Lagoa do Mato;66;47;62;57;55;140;133;
MA;2105948;Lago dos Rodrigues;137;123;142;136;105;190;194;
MA;2105963;Lagoa Grande do Maranhão;51;52;53;56;39;93;125;
MA;2105989;Lajeado Novo;5;3;9;7;8;17;18;
MA;2106003;Lima Campos;72;76;77;77;61;111;115;
MA;2106102;Loreto;1246;544;1207;918;869;1137;1149;
MA;2106201;Luís Domingues;48;43;4;6;8;20;20;
MA;2106300;Magalhães de Almeida;216;240;226;199;173;360;375;
MA;2106326;Maracaçumé;181;122;83;50;41;70;70;
MA;2106359;Marajá do Sena;143;29;30;36;49;110;129;
MA;2106375;Maranhãozinho;240;93;142;97;47;90;90;
MA;2106409;Mata Roma;151;218;90;74;47;92;85;
MA;2106508;Matinha;25;40;6;7;6;13;15;
MA;2106607;Matões;356;473;476;424;333;780;830;
MA;2106631;Matões do Norte;142;145;79;82;82;244;248;
MA;2106672;Milagres do Maranhão;133;167;190;184;120;165;150;
MA;2106706;Mirador;229;228;217;396;352;535;492;
MA;2106755;Miranda do Norte;122;126;94;90;95;210;214;
MA;2106805;Mirinzal;29;27;26;15;13;21;18;
MA;2106904;Monção;226;203;90;82;52;180;190;
MA;2107001;Montes Altos;25;49;116;72;57;110;106;
MA;2107100;Morros;21;24;20;18;15;30;27;
MA;2107209;Nina Rodrigues;55;59;2;4;3;9;11;
MA;2107258;Nova Colinas;177;107;94;103;122;152;158;
MA;2107308;Nova Iorque;89;66;52;56;55;123;116;
MA;2107357;Nova Olinda do Maranhão;260;221;109;100;103;150;141;
MA;2107407;Olho d'Água das Cunhãs;161;186;103;94;101;185;200;
MA;2107456;Olinda Nova do Maranhão;8;8;8;5;4;10;11;
MA;2107506;Paço do Lumiar;14;13;7;5;5;8;11;
MA;2107605;Palmeirândia;66;57;53;38;31;52;47;
MA;2107704;Paraibano;151;129;128;116;119;243;253;
MA;2107803;Parnarama;462;490;460;426;254;710;750;
MA;2107902;Passagem Franca;163;164;161;108;118;283;278;
MA;2108009;Pastos Bons;173;167;118;120;118;237;228;
MA;2108058;Paulino Neves;131;72;33;26;23;54;62;
MA;2108108;Paulo Ramos;300;126;129;133;150;250;275;
MA;2108207;Pedreiras;131;136;88;69;59;109;113;
MA;2108256;Pedro do Rosário;5;10;10;8;10;17;18;
MA;2108306;Penalva;60;48;11;8;8;14;15;
MA;2108405;Peri Mirim;14;13;13;10;8;16;14;
MA;2108454;Peritoró;46;43;32;35;38;125;125;
MA;2108504;Pindaré-Mirim;40;41;24;22;19;61;55;
MA;2108603;Pinheiro;54;46;45;41;47;68;71;
MA;2108702;Pio XII;185;61;63;71;80;155;192;
MA;2108801;Pirapemas;269;274;33;32;35;107;111;
MA;2108900;Poção de Pedras;238;239;153;112;89;160;165;
MA;2109007;Porto Franco;14;16;18;16;18;34;31;
MA;2109056;Porto Rico do Maranhão;13;13;15;9;8;14;15;
MA;2109106;Presidente Dutra;181;184;168;148;149;331;335;
MA;2109205;Presidente Juscelino;6;7;4;5;4;8;11;
MA;2109239;Presidente Médici;62;40;26;35;29;65;65;
MA;2109270;Presidente Sarney;28;24;26;24;22;40;44;
MA;2109304;Presidente Vargas;31;35;2;4;4;12;14;
MA;2109403;Primeira Cruz;21;30;9;8;7;15;17;
MA;2109452;Raposa;0;0;0;0;0;;;
MA;2109502;Riachão;1396;855;1679;1430;1416;1795;1801;
MA;2109551;Ribamar Fiquene;12;11;15;11;14;27;26;
MA;2109601;Rosário;22;24;12;13;11;19;21;
MA;2109700;Sambaíba;1043;428;635;700;706;933;935;
MA;2109759;Santa Filomena do Maranhão;67;74;66;44;38;78;67;
MA;2109809;Santa Helena;32;29;33;27;27;45;46;
MA;2109908;Santa Inês;71;61;40;37;25;75;75;
MA;2110005;Santa Luzia;865;829;297;312;215;615;643;
MA;2110039;Santa Luzia do Paruá;110;102;60;34;27;71;71;
MA;2110104;Santa Quitéria do Maranhão;390;426;227;181;155;570;522;
MA;2110203;Santa Rita;76;18;5;6;7;19;21;
MA;2110237;Santana do Maranhão;239;270;239;204;154;293;302;
MA;2110278;Santo Amaro do Maranhão;29;30;5;4;3;9;11;
MA;2110302;Santo Antônio dos Lopes;120;122;121;101;94;161;166;
MA;2110401;São Benedito do Rio Preto;137;152;78;75;50;25;27;
MA;2110500;São Bento;7;6;8;6;5;13;15;
MA;2110609;São Bernardo;547;335;221;172;127;350;300;
MA;2110658;São Domingos do Azeitão;1168;1018;1021;179;296;1650;1503;
MA;2110708;São Domingos do Maranhão;525;560;503;353;328;697;575;
MA;2110807;São Félix de Balsas;97;83;77;123;100;180;181;
MA;2110856;São Francisco do Brejão;15;17;15;11;15;26;25;
MA;2110906;São Francisco do Maranhão;135;111;95;100;98;212;220;
MA;2111003;São João Batista;6;8;5;3;4;8;7;
MA;2111029;São João do Carú;191;173;60;58;36;130;120;
MA;2111052;São João do Paraíso;8;6;16;8;9;22;22;
MA;2111078;São João do Soter;39;40;33;36;37;130;120;
MA;2111102;São João dos Patos;165;158;125;122;125;304;294;
MA;2111201;São José de Ribamar;7;7;4;3;2;6;6;
MA;2111250;São José dos Basílios;47;46;48;37;38;89;91;
MA;2111300;São Luís;48;11;9;6;7;9;9;
MA;2111409;São Luís Gonzaga do Maranhão;138;87;89;88;95;205;84;
MA;2111508;São Mateus do Maranhão;210;45;34;37;47;118;135;
MA;2111532;São Pedro da Água Branca;12;16;25;47;53;106;99;
MA;2111573;São Pedro dos Crentes;27;16;13;23;24;45;38;
MA;2111607;São Raimundo das Mangabeiras;384;175;284;236;276;350;347;
MA;2111631;São Raimundo do Doca Bezerra;121;44;10;10;10;31;34;
MA;2111672;São Roberto;95;100;88;87;71;127;130;
MA;2111706;São Vicente Ferrer;15;24;7;6;6;12;11;
MA;2111722;Satubinha;136;57;64;61;70;155;167;
MA;2111748;Senador Alexandre Costa;140;167;152;127;129;334;338;
MA;2111763;Senador La Rocque;16;15;14;14;14;24;28;
MA;2111789;Serrano do Maranhão;9;8;8;6;7;14;13;
MA;2111805;Sítio Novo;62;44;129;119;124;325;191;
MA;2111904;Sucupira do Norte;112;99;73;88;85;184;189;
MA;2111953;Sucupira do Riachão;105;50;49;44;49;122;121;
MA;2112001;Tasso Fragoso;564;480;756;640;609;790;800;
MA;2112100;Timbiras;46;44;39;39;41;140;170;
MA;2112209;Timon;528;902;454;469;395;1030;1000;
MA;2112233;Trizidela do Vale;125;109;59;51;43;84;89;
MA;2112274;Tufilândia;33;33;20;18;12;30;35;
MA;2112308;Tuntum;574;614;615;414;371;790;680;
MA;2112407;Turiaçu;41;37;38;34;31;51;48;
MA;2112456;Turilândia;96;82;80;75;59;101;89;
MA;2112506;Tutóia;511;559;512;364;296;458;475;
MA;2112605;Urbano Santos;304;332;234;199;109;93;92;
MA;2112704;Vargem Grande;86;99;6;9;9;34;35;
MA;2112803;Viana;9;18;21;19;21;40;45;
MA;2112852;Vila Nova dos Martírios;25;30;46;43;49;105;96;
MA;2112902;Vitória do Mearim;10;14;4;5;5;11;12;
MA;2113009;Vitorino Freire;344;297;210;195;231;308;85;
MA;2114007;Zé Doca;277;253;102;113;71;242;248;
MG;3100104;Abadia dos Dourados;18;2;3;33;45;22;22;
MG;3100203;Abaeté;0;0;0;0;0;;;
MG;3100302;Abre Campo;170;294;176;263;242;360;360;
MG;3100401;Acaiaca;33;29;23;29;27;45;50;
MG;3100500;Açucena;74;112;182;249;154;280;160;
MG;3100609;Água Boa;431;425;440;309;489;800;800;
MG;3100708;Água Comprida;0;0;0;0;1120;600;1000;
MG;3100807;Aguanil;141;240;272;282;154;140;150;
MG;3100906;Águas Formosas;12;20;22;17;16;50;70;
MG;3101003;Águas Vermelhas;140;137;168;123;160;430;320;
MG;3101102;Aimorés;305;215;320;346;360;260;200;
MG;3101201;Aiuruoca;268;155;685;1800;720;700;650;
MG;3101300;Alagoa;4;3;16;26;13;15;20;
MG;3101409;Albertina;0;0;0;0;0;;;
MG;3101508;Além Paraíba;36;39;36;24;19;20;25;
MG;3101607;Alfenas;5470;7416;7300;5616;2313;1400;850;
MG;3101631;Alfredo Vasconcelos;48;68;65;67;67;70;105;
MG;3101706;Almenara;137;117;209;33;132;270;198;
MG;3101805;Alpercata;1;1;0;0;0;;;
MG;3101904;Alpinópolis;610;1064;1060;387;519;260;230;
MG;3102001;Alterosa;530;555;890;600;650;700;560;
MG;3102050;Alto Caparaó;15;21;46;43;36;35;30;
MG;3102100;Alto Rio Doce;330;435;511;552;627;950;900;
MG;3102209;Alvarenga;29;35;30;28;38;50;65;
MG;3102308;Alvinópolis;96;144;90;81;108;166;130;
MG;3102407;Alvorada de Minas;10;25;66;69;72;90;32;
MG;3102506;Amparo do Serra;84;243;144;125;120;230;220;
MG;3102605;Andradas;10;16;220;258;333;300;300;
MG;3102704;Cachoeira de Pajeú;94;80;85;72;111;400;400;
MG;3102803;Andrelândia;1628;1400;1168;848;818;600;600;
MG;3102852;Angelândia;123;159;68;91;88;175;175;
MG;3102902;Antônio Carlos;136;168;176;150;138;205;145;
MG;3103009;Antônio Dias;9;28;10;8;12;22;3;
MG;3103108;Antônio Prado de Minas;5;3;8;10;5;3;3;
MG;3103207;Araçaí;2;3;2;2;1;2;1;
MG;3103306;Aracitaba;55;17;41;33;35;38;41;
MG;3103405;Araçuaí;135;103;85;126;231;556;655;
MG;3103504;Araguari;90;99;54;0;0;;147;
MG;3103603;Arantina;2;3;45;81;74;40;36;
MG;3103702;Araponga;372;284;318;333;360;410;350;
MG;3103751;Araporã;47;90;60;60;60;;200;
MG;3103801;Arapuá;0;0;150;204;120;50;30;
MG;3103900;Araújos;12;4;23;18;13;10;7;
MG;3104007;Araxá;2940;3060;2130;2304;1746;1050;1000;
MG;3104106;Arceburgo;213;223;213;16;13;10;9;
MG;3104205;Arcos;189;50;510;558;918;350;360;
MG;3104304;Areado;170;416;164;144;149;90;110;
MG;3104403;Argirita;11;8;9;14;14;19;19;
MG;3104452;Aricanduva;105;258;133;117;127;340;340;
MG;3104502;Arinos;6600;5910;1920;4050;2700;2200;2200;
MG;3104601;Astolfo Dutra;11;12;6;14;24;8;10;
MG;3104700;Ataléia;58;62;74;61;54;160;180;
MG;3104809;Augusto de Lima;123;103;80;69;74;60;60;
MG;3104908;Baependi;15;21;74;135;1260;900;700;
MG;3105004;Baldim;74;66;40;43;48;22;15;
MG;3105103;Bambuí;2452;2761;4823;3919;5610;3350;3050;
MG;3105202;Bandeira;216;11;74;44;15;44;70;
MG;3105301;Bandeira do Sul;16;25;37;18;11;15;16;
MG;3105400;Barão de Cocais;3;2;5;9;8;13;18;
MG;3105509;Barão de Monte Alto;5;9;9;9;11;9;9;
MG;3105608;Barbacena;1021;941;797;1094;1090;710;650;
MG;3105707;Barra Longa;67;45;111;149;111;160;190;
MG;3105905;Barroso;24;17;5;13;13;15;15;
MG;3106002;Bela Vista de Minas;2;3;16;8;6;5;3;
MG;3106101;Belmiro Braga;8;14;15;16;8;12;11;
MG;3106200;Belo Horizonte;0;0;0;0;0;;;
MG;3106309;Belo Oriente;36;48;63;65;74;105;105;
MG;3106408;Belo Vale;27;21;18;19;21;27;33;
MG;3106507;Berilo;43;41;16;31;22;80;80;
MG;3106606;Bertópolis;52;32;21;19;25;23;20;
MG;3106655;Berizal;78;66;59;47;26;120;120;
MG;3106705;Betim;30;17;8;5;8;3;2;
MG;3106804;Bias Fortes;20;19;34;36;37;70;60;
MG;3106903;Bicas;4;7;7;8;8;10;8;
MG;3107000;Biquinhas;0;0;45;0;0;;;
MG;3107109;Boa Esperança;1176;1338;2190;1740;834;715;600;
MG;3107208;Bocaina de Minas;18;21;51;84;86;45;55;
MG;3107307;Bocaiúva;430;578;339;299;214;422;990;
MG;3107406;Bom Despacho;1020;864;840;1092;1152;320;146;
MG;3107505;Bom Jardim de Minas;15;32;35;25;26;45;47;
MG;3107604;Bom Jesus da Penha;48;54;204;240;320;290;350;
MG;3107703;Bom Jesus do Amparo;1;1;74;3;4;4;10;
MG;3107802;Bom Jesus do Galho;119;194;335;360;300;700;700;
MG;3107901;Bom Repouso;7;7;20;96;89;65;55;
MG;3108008;Bom Sucesso;6;8;384;315;75;107;340;
MG;3108107;Bonfim;9;21;58;68;41;24;21;
MG;3108206;Bonfinópolis de Minas;16190;13800;7260;8120;31150;3500;4200;
MG;3108255;Bonito de Minas;153;205;321;303;324;420;680;
MG;3108305;Borda da Mata;22;18;18;36;72;40;40;
MG;3108404;Botelhos;43;117;156;102;75;70;70;
MG;3108503;Botumirim;115;82;151;191;218;345;620;
MG;3108552;Brasilândia de Minas;6030;6600;9594;13320;6621;170;202;
MG;3108602;Brasília de Minas;60;250;295;280;170;370;400;
MG;3108701;Brás Pires;203;240;134;193;215;300;360;
MG;3108800;Braúnas;45;111;73;135;117;250;260;
MG;3108909;Brasópolis;9;10;48;49;43;108;108;
MG;3109006;Brumadinho;21;26;37;52;50;42;50;
MG;3109105;Bueno Brandão;96;117;101;125;87;65;65;
MG;3109204;Buenópolis;42;89;64;60;66;65;820;
MG;3109253;Bugre;0;0;0;0;0;;;
MG;3109303;Buritis;22696;20700;13700;15990;11880;7500;7600;
MG;3109402;Buritizeiro;2751;4114;2384;2265;2758;1030;2200;
MG;3109451;Cabeceira Grande;6420;6863;5400;6300;8700;3800;4000;
MG;3109501;Cabo Verde;342;334;282;222;230;220;270;
MG;3109600;Cachoeira da Prata;0;0;0;0;0;;2;
MG;3109709;Cachoeira de Minas;77;77;117;213;188;170;170;
MG;3109808;Cachoeira Dourada;0;0;0;0;0;;;
MG;3109907;Caetanópolis;5;5;4;5;6;6;6;
MG;3110004;Caeté;34;40;42;40;39;25;25;
MG;3110103;Caiana;48;74;63;94;93;120;120;
MG;3110202;Cajuri;420;193;200;199;236;310;300;
MG;3110301;Caldas;900;1181;920;1192;1251;850;580;
MG;3110400;Camacho;40;59;69;118;135;120;100;
MG;3110509;Camanducaia;9;9;39;30;52;40;50;
MG;3110608;Cambuí;20;18;50;78;68;60;65;
MG;3110707;Cambuquira;41;43;524;520;576;450;400;
MG;3110806;Campanário;7;7;6;10;8;16;24;
MG;3110905;Campanha;47;190;18;18;18;30;80;
MG;3111002;Campestre;312;435;480;636;1581;520;650;
MG;3111101;Campina Verde;0;1;1;0;0;;;
MG;3111150;Campo Azul;25;55;27;48;96;250;220;
MG;3111200;Campo Belo;491;120;330;360;582;550;500;
MG;3111309;Campo do Meio;1110;1209;1608;1542;960;700;800;
MG;3111408;Campo Florido;2450;1320;1470;1603;1320;155;350;
MG;3111507;Campos Altos;540;360;1170;1044;975;230;60;
MG;3111606;Campos Gerais;3136;2286;2322;2472;3478;1720;2450;
MG;3111705;Canaã;372;239;246;277;315;270;275;
MG;3111804;Canápolis;330;0;720;1440;720;200;280;
MG;3111903;Cana Verde;38;22;28;27;29;35;50;
MG;3112000;Candeias;2712;258;459;550;837;600;600;
MG;3112059;Cantagalo;30;35;27;22;18;30;15;
MG;3112109;Caparaó;16;22;26;64;65;70;70;
MG;3112208;Capela Nova;450;152;564;194;176;100;85;
MG;3112307;Capelinha;282;315;113;195;178;350;310;
MG;3112406;Capetinga;457;384;384;321;300;280;280;
MG;3112505;Capim Branco;15;2;2;3;2;6;4;
MG;3112604;Capinópolis;66;0;0;0;0;;125;
MG;3112653;Capitão Andrade;2;2;0;0;0;;10;
MG;3112703;Capitão Enéas;187;171;144;117;187;80;250;
MG;3112802;Capitólio;288;288;288;240;210;80;95;
MG;3112901;Caputira;54;33;103;138;140;185;155;
MG;3113008;Caraí;133;265;192;194;150;350;350;
MG;3113107;Caranaíba;49;63;64;102;129;115;140;
MG;3113206;Carandaí;4826;5327;4367;6270;6714;3250;3250;
MG;3113305;Carangola;33;59;128;157;83;120;140;
MG;3113404;Caratinga;189;229;243;244;255;450;900;
MG;3113503;Carbonita;45;47;64;93;93;158;158;
MG;3113602;Careaçu;216;236;180;120;112;70;40;
MG;3113701;Carlos Chagas;9;7;15;10;13;10;10;
MG;3113800;Carmésia;12;12;18;13;12;25;38;
MG;3113909;Carmo da Cachoeira;210;150;49;22;120;250;220;
MG;3114006;Carmo da Mata;43;48;58;60;70;50;70;
MG;3114105;Carmo de Minas;105;165;123;74;48;70;70;
MG;3114204;Carmo do Cajuru;27;25;52;72;87;80;90;
MG;3114303;Carmo do Paranaíba;1695;1875;1173;1306;690;600;500;
MG;3114402;Carmo do Rio Claro;4455;4326;6966;8286;5670;2000;1750;
MG;3114501;Carmópolis de Minas;215;72;42;55;74;46;55;
MG;3114550;Carneirinho;0;0;0;0;0;;;
MG;3114600;Carrancas;1116;814;1110;2460;2400;1700;1550;
MG;3114709;Carvalhópolis;131;15;170;150;126;135;135;
MG;3114808;Carvalhos;12;15;24;18;15;20;20;
MG;3114907;Casa Grande;2257;2425;3222;3064;2673;2250;1880;
MG;3115003;Cascalho Rico;0;0;400;0;0;;;
MG;3115102;Cássia;176;168;198;126;126;120;100;
MG;3115201;Conceição da Barra de Minas;23;36;846;757;648;360;325;
MG;3115300;Cataguases;2;7;12;49;14;20;15;
MG;3115359;Catas Altas;5;5;30;36;18;10;10;
MG;3115409;Catas Altas da Noruega;147;57;47;70;100;150;150;
MG;3115458;Catuji;11;16;25;36;17;70;200;
MG;3115474;Catuti;51;79;79;64;60;190;250;
MG;3115508;Caxambu;2;10;10;10;10;10;10;
MG;3115607;Cedro do Abaeté;5;0;3;0;0;;;
MG;3115706;Central de Minas;13;14;17;15;25;29;29;
MG;3115805;Centralina;1418;1260;1260;1380;734;150;130;
MG;3115904;Chácara;3;2;3;7;7;10;8;
MG;3116001;Chalé;45;49;94;98;95;140;140;
MG;3116100;Chapada do Norte;35;38;33;57;43;110;90;
MG;3116159;Chapada Gaúcha;178;1075;1315;1500;594;600;750;
MG;3116209;Chiador;1;3;4;6;4;5;5;
MG;3116308;Cipotânea;224;286;223;269;306;450;450;
MG;3116407;Claraval;4;9;93;69;51;60;60;
MG;3116506;Claro dos Poções;150;174;91;69;90;230;250;
MG;3116605;Cláudio;95;82;88;121;104;77;190;
MG;3116704;Coimbra;967;1119;1686;1134;1383;960;890;
MG;3116803;Coluna;87;88;205;195;165;260;105;
MG;3116902;Comendador Gomes;0;0;0;0;0;;;
MG;3117009;Comercinho;52;92;64;99;98;550;590;
MG;3117108;Conceição da Aparecida;14;36;112;198;45;300;330;
MG;3117207;Conceição das Pedras;0;0;207;203;203;115;115;
MG;3117306;Conceição das Alagoas;2915;2297;1200;1213;1200;;;
MG;3117405;Conceição de Ipanema;38;49;60;61;65;100;85;
MG;3117504;Conceição do Mato Dentro;57;78;48;91;115;283;243;
