CNES - Recursos Físicos - Ambulatório - Consultórios - Brasil
Clin.Especializada por Município
Período:Jul/2024
"Município";"Clin.Especializada"
"250470 CONGO";4
"250480 COREMAS";4
"250485 COXIXOLA";2
"250490 CRUZ DO ESPIRITO SANTO";6
"250500 CUBATI";10
"250510 CUITE";18
"250520 CUITEGI";1
"250527 CURRAL DE CIMA";1
"250530 CURRAL VELHO";1
"250535 DAMIAO";1
"250540 DESTERRO";11
"250550 VISTA SERRANA";3
"250570 DONA INES";4
"250590 EMAS";6
"250600 ESPERANCA";23
"250610 FAGUNDES";1
"250625 GADO BRAVO";1
"250630 GUARABIRA";96
"250640 GURINHEM";1
"250650 GURJAO";3
"250660 IBIARA";2
"250670 IMACULADA";5
"250680 INGA";8
"250690 ITABAIANA";30
"250700 ITAPORANGA";26
"250710 ITAPOROROCA";10
"250720 ITATUBA";4
"250730 JACARAU";5
"250740 JERICO";2
"250750 JOAO PESSOA";1024
"250760 JUAREZ TAVORA";2
"250770 JUAZEIRINHO";7
"250780 JUNCO DO SERIDO";3
"250790 JURIPIRANGA";9
"250800 JURU";4
"250810 LAGOA";2
"250820 LAGOA DE DENTRO";2
"250830 LAGOA SECA";8
"250840 LASTRO";5
"250855 LOGRADOURO";2
"250860 LUCENA";1
"250870 MAE D'AGUA";1
"250880 MALTA";4
"250890 MAMANGUAPE";29
"250900 MANAIRA";4
"250905 MARCACAO";5
"250910 MARI";26
"250915 MARIZOPOLIS";2
"250920 MASSARANDUBA";3
"250930 MATARACA";5
"250937 MATO GROSSO";2
"250939 MATUREIA";1
"250940 MOGEIRO";14
"250950 MONTADAS";1
"250960 MONTE HOREBE";4
"250970 MONTEIRO";23
"250980 MULUNGU";5
"251000 NAZAREZINHO";2
"251010 NOVA FLORESTA";10
"251030 NOVA PALMEIRA";1
"251040 OLHO D'AGUA";4
"251050 OLIVEDOS";1
"251060 OURO VELHO";2
"251065 PARARI";1
"251070 PASSAGEM";2
"251080 PATOS";121
"251090 PAULISTA";4
"251100 PEDRA BRANCA";2
"251110 PEDRA LAVRADA";1
"251120 PEDRAS DE FOGO";27
"251130 PIANCO";13
"251140 PICUI";24
"251150 PILAR";14
"251160 PILOES";1
"251170 PILOEZINHOS";3
"251180 PIRPIRITUBA";7
"251190 PITIMBU";4
"251200 POCINHOS";6
"251203 POCO DANTAS";2
"251210 POMBAL";23
"251220 PRATA";1
"251230 PRINCESA ISABEL";44
"251240 PUXINANA";5
"251250 QUEIMADAS";17
"251260 QUIXABA";1
"251270 REMIGIO";11
"251272 PEDRO REGIS";6
"251276 RIACHAO DO POCO";2
"251278 RIACHO DE SANTO ANTONIO";4
"251280 RIACHO DOS CAVALOS";3
"251290 RIO TINTO";3
"251300 SALGADINHO";1
"251310 SALGADO DE SAO FELIX";5
"251315 SANTA CECILIA";1
"251320 SANTA CRUZ";2
"251330 SANTA HELENA";3
"251335 SANTA INES";1
"251340 SANTA LUZIA";5
"251350 SANTANA DE MANGUEIRA";2
"251360 SANTANA DOS GARROTES";2
"251365 JOCA CLAUDINO";2
"251370 SANTA RITA";49
"251380 SANTA TERESINHA";5
"251385 SANTO ANDRE";1
"251390 SAO BENTO";14
"251392 SAO BENTINHO";3
"251396 SAO DOMINGOS";2
"251398 SAO FRANCISCO";4
"251400 SAO JOAO DO CARIRI";4
"251410 SAO JOAO DO TIGRE";3
"251420 SAO JOSE DA LAGOA TAPADA";5
"251430 SAO JOSE DE CAIANA";8
"251440 SAO JOSE DE ESPINHARAS";1
"251450 SAO JOSE DE PIRANHAS";4
"251455 SAO JOSE DE PRINCESA";3
"251470 SAO JOSE DO SABUGI";3
"251500 SAO MIGUEL DE TAIPU";4
"251510 SAO SEBASTIAO DE LAGOA DE ROCA";4
"251530 SAPE";5
"251540 SAO VICENTE DO SERIDO";2
"251550 SERRA BRANCA";10
"251570 SERRA GRANDE";2
"251580 SERRA REDONDA";5
"251590 SERRARIA";2
"251593 SERTAOZINHO";3
"251597 SOBRADO";7
"251600 SOLANEA";19
"251610 SOLEDADE";3
"251615 SOSSEGO";3
"251620 SOUSA";128
"251630 SUME";10
"251640 TACIMA";4
"251650 TAPEROA";2
"251670 TEIXEIRA";14
"251675 TENORIO";3
"251680 TRIUNFO";2
"251690 UIRAUNA";11
"251700 UMBUZEIRO";2
"251710 VARZEA";4
"260005 ABREU E LIMA";83
"260010 AFOGADOS DA INGAZEIRA";61
"260020 AFRANIO";7
"260030 AGRESTINA";19
"260040 AGUA PRETA";11
"260050 AGUAS BELAS";7
"260070 ALIANCA";4
"260080 ALTINHO";2
"260090 AMARAJI";5
"260100 ANGELIM";4
"260105 ARACOIABA";2
"260110 ARARIPINA";57
"260120 ARCOVERDE";150
"260140 BARREIROS";13
"260150 BELEM DE MARIA";6
"260160 BELEM DE SAO FRANCISCO";3
"260170 BELO JARDIM";82
"260180 BETANIA";1
"260190 BEZERROS";30
"260200 BODOCO";9
"260210 BOM CONSELHO";2
"260220 BOM JARDIM";3
"260230 BONITO";7
"260240 BREJAO";1
"260250 BREJINHO";2
"260260 BREJO DA MADRE DE DEUS";12
"260270 BUENOS AIRES";2
"260280 BUIQUE";6
"260290 CABO DE SANTO AGOSTINHO";146
"260300 CABROBO";10
"260310 CACHOEIRINHA";6
"260320 CAETES";6
"260330 CALCADO";2
"260345 CAMARAGIBE";72
"260350 CAMOCIM DE SAO FELIX";8
"260370 CANHOTINHO";1
"260380 CAPOEIRAS";5
"260392 CARNAUBEIRA DA PENHA";1
"260400 CARPINA";90
"260410 CARUARU";690
"260415 CASINHAS";1
"260420 CATENDE";12
"260440 CHA DE ALEGRIA";1
"260450 CHA GRANDE";4
"260460 CONDADO";1
"260470 CORRENTES";1
"260480 CORTES";6
"260490 CUMARU";6
"260500 CUPIRA";9
"260510 CUSTODIA";7
"260515 DORMENTES";11
"260520 ESCADA";47
"260530 EXU";3
"260540 FEIRA NOVA";2
"260545 FERNANDO DE NORONHA";4
"260550 FERREIROS";2
"260560 FLORES";2
"260570 FLORESTA";9
"260590 GAMELEIRA";10
"260600 GARANHUNS";146
"260610 GLORIA DO GOITA";4
"260620 GOIANA";49
"260630 GRANITO";2
"260640 GRAVATA";71
"260660 IBIMIRIM";8
"260670 IBIRAJUBA";4
"260680 IGARASSU";71
"260690 IGUARACY";2
"260700 INAJA";3
"260720 IPOJUCA";28
"260730 IPUBI";2
"260740 ITACURUBA";4
"260750 ITAIBA";3
"260760 ILHA DE ITAMARACA";10
"260765 ITAMBE";12
"260770 ITAPETIM";1
"260775 ITAPISSUMA";10
"260780 ITAQUITINGA";3
"260790 JABOATAO DOS GUARARAPES";238
"260795 JAQUEIRA";1
"260800 JATAUBA";3
"260810 JOAO ALFREDO";2
"260820 JOAQUIM NABUCO";3
"260825 JUCATI";3
"260840 JUREMA";3
"260845 LAGOA DO CARRO";6
"260850 LAGOA DE ITAENGA";4
"260870 LAGOA DOS GATOS";3
"260875 LAGOA GRANDE";3
"260880 LAJEDO";6
"260890 LIMOEIRO";108
"260900 MACAPARANA";2
"260910 MACHADOS";1
"260915 MANARI";3
"260930 MIRANDIBA";2
"260940 MORENO";21
"260950 NAZARE DA MATA";5
"260960 OLINDA";173
"260970 OROBO";5
"260980 OROCO";1
"260990 OURICURI";34
"261000 PALMARES";106
"261020 PANELAS";13
"261030 PARANATAMA";1
"261040 PARNAMIRIM";6
"261060 PAUDALHO";13
"261070 PAULISTA";155
"261080 PEDRA";7
"261090 PESQUEIRA";30
"261100 PETROLANDIA";26
"261110 PETROLINA";351
"261120 POCAO";2
"261130 POMBOS";3
"261140 PRIMAVERA";2
"261150 QUIPAPA";2
"261153 QUIXABA";4
"261160 RECIFE";2940
"261170 RIACHO DAS ALMAS";1
"261180 RIBEIRAO";4
"261190 RIO FORMOSO";5
"261200 SAIRE";7
"261220 SALGUEIRO";78
"261230 SALOA";5
"261240 SANHARO";5
"261245 SANTA CRUZ";6
"261247 SANTA CRUZ DA BAIXA VERDE";1
"261250 SANTA CRUZ DO CAPIBARIBE";74
"261255 SANTA FILOMENA";1
"261260 SANTA MARIA DA BOA VISTA";2
"261290 SAO BENEDITO DO SUL";4
"261300 SAO BENTO DO UNA";34
"261310 SAO CAITANO";4
"261320 SAO JOAO";5
"261330 SAO JOAQUIM DO MONTE";7
"261340 SAO JOSE DA COROA GRANDE";11
"261350 SAO JOSE DO BELMONTE";5
"261360 SAO JOSE DO EGITO";20
"261370 SAO LOURENCO DA MATA";26
"261390 SERRA TALHADA";73
"261400 SERRITA";3
"261410 SERTANIA";19
"261420 SIRINHAEM";5
"261430 MOREILANDIA";5
"261440 SOLIDAO";1
"261450 SURUBIM";20
"261460 TABIRA";5
"261470 TACAIMBO";2
"261480 TACARATU";3
"261485 TAMANDARE";5
"261500 TAQUARITINGA DO NORTE";4
"261530 TIMBAUBA";15
"261540 TORITAMA";9
"261560 TRINDADE";22
"261570 TRIUNFO";3
"261580 TUPANATINGA";3
"261590 TUPARETAMA";3
"261600 VENTUROSA";20
"261618 VERTENTE DO LERIO";2
"261620 VERTENTES";15
"261630 VICENCIA";4
"261640 VITORIA DE SANTO ANTAO";149
"261650 XEXEU";1
"270010 AGUA BRANCA";2
"270020 ANADIA";1
"270030 ARAPIRACA";172
"270040 ATALAIA";11
"270050 BARRA DE SANTO ANTONIO";1
"270060 BARRA DE SAO MIGUEL";1
"270070 BATALHA";9
"270080 BELEM";2
"270100 BOCA DA MATA";5
"270120 CACIMBINHAS";3
"270135 CAMPESTRE";3
"270140 CAMPO ALEGRE";7
"270150 CAMPO GRANDE";3
"270160 CANAPI";1
"270170 CAPELA";14
"270180 CARNEIROS";1
"270190 CHA PRETA";1
"270200 COITE DO NOIA";9
"270210 COLONIA LEOPOLDINA";10
"270220 COQUEIRO SECO";2
"270230 CORURIPE";29
"270235 CRAIBAS";3
"270240 DELMIRO GOUVEIA";31
"270255 ESTRELA DE ALAGOAS";2
"270260 FEIRA GRANDE";3
"270280 FLEXEIRAS";3
"270290 GIRAU DO PONCIANO";12
"270300 IBATEGUARA";1
"270310 IGACI";4
"270320 IGREJA NOVA";5
"270330 INHAPI";1
"270360 JAPARATINGA";1
"270375 JEQUIA DA PRAIA";2
"270380 JOAQUIM GOMES";3
"270390 JUNDIA";1
"270400 JUNQUEIRO";4
"270410 LAGOA DA CANOA";2
"270420 LIMOEIRO DE ANADIA";1
"270430 MACEIO";1396
"270440 MAJOR ISIDORO";5
"270450 MARAGOGI";6
"270470 MARECHAL DEODORO";11
"270480 MARIBONDO";12
"270500 MATA GRANDE";5
"270510 MATRIZ DE CAMARAGIBE";5
"270520 MESSIAS";3
"270540 MONTEIROPOLIS";2
"270550 MURICI";9
"270560 NOVO LINO";12
"270570 OLHO D'AGUA DAS FLORES";14
"270580 OLHO D'AGUA DO CASADO";1
"270610 OURO BRANCO";3
"270620 PALESTINA";2
"270630 PALMEIRA DOS INDIOS";88
"270640 PAO DE ACUCAR";8
"270642 PARICONHA";5
"270644 PARIPUEIRA";10
"270650 PASSO DE CAMARAGIBE";4
"270670 PENEDO";61
"270680 PIACABUCU";4
"270690 PILAR";9
"270710 PIRANHAS";14
"270720 POCO DAS TRINCHEIRAS";3
"270730 PORTO CALVO";6
"270740 PORTO DE PEDRAS";1
"270750 PORTO REAL DO COLEGIO";2
"270760 QUEBRANGULO";9
"270770 RIO LARGO";7
"270780 ROTEIRO";2
"270800 SANTANA DO IPANEMA";41
"270810 SANTANA DO MUNDAU";1
"270830 SAO JOSE DA LAJE";2
"270840 SAO JOSE DA TAPERA";5
"270850 SAO LUIS DO QUITUNDE";6
"270860 SAO MIGUEL DOS CAMPOS";24
"270880 SAO SEBASTIAO";6
"270890 SATUBA";28
"270895 SENADOR RUI PALMEIRA";3
"270910 TAQUARANA";11
"270915 TEOTONIO VILELA";14
"270920 TRAIPU";7
"270930 UNIAO DOS PALMARES";32
"270940 VICOSA";2
"280020 AQUIDABA";2
"280030 ARACAJU";2438
"280050 AREIA BRANCA";5
"280060 BARRA DOS COQUEIROS";20
"280067 BOQUIM";8
"280100 CAMPO DO BRITO";3
"280120 CANINDE DE SAO FRANCISCO";18
"280130 CAPELA";2
"280140 CARIRA";1
"280150 CARMOPOLIS";2
"280160 CEDRO DE SAO JOAO";8
"280170 CRISTINAPOLIS";5
"280190 CUMBE";1
"280210 ESTANCIA";65
"280230 FREI PAULO";1
"280250 GENERAL MAYNARD";2
"280270 ILHA DAS FLORES";1
"280290 ITABAIANA";98
"280300 ITABAIANINHA";5
"280320 ITAPORANGA D'AJUDA";14
"280330 JAPARATUBA";4
"280350 LAGARTO";115
"280360 LARANJEIRAS";8
"280400 MARUIM";4
"280410 MOITA BONITA";7
"280440 NEOPOLIS";3
"280450 NOSSA SENHORA DA GLORIA";28
"280460 NOSSA SENHORA DAS DORES";9
"280480 NOSSA SENHORA DO SOCORRO";85
"280500 PEDRA MOLE";2
"280520 PINHAO";2
"280530 PIRAMBU";1
"280550 POCO VERDE";1
"280560 PORTO DA FOLHA";4
"280570 PROPRIA";18
"280580 RIACHAO DO DANTAS";4
"280590 RIACHUELO";1
"280600 RIBEIROPOLIS";6
"280620 SALGADO";5
"280630 SANTA LUZIA DO ITANHY";3
"280640 SANTANA DO SAO FRANCISCO";1
"280670 SAO CRISTOVAO";9
"280680 SAO DOMINGOS";4
"280710 SIMAO DIAS";15
"280730 TELHA";1
"280740 TOBIAS BARRETO";8
"280760 UMBAUBA";11
"290010 ABAIRA";1
"290020 ABARE";1
"290040 AGUA FRIA";3
"290070 ALAGOINHAS";207
"290080 ALCOBACA";1
"290100 AMARGOSA";18
"290115 AMERICA DOURADA";2
"290120 ANAGE";2
"290130 ANDARAI";3
"290135 ANDORINHA";4
"290140 ANGICAL";1
"290150 ANGUERA";2
"290160 ANTAS";7
"290190 APORA";3
"290195 APUAREMA";2
"290200 ARACATU";3
"290205 ARACAS";1
"290210 ARACI";19
"290220 ARAMARI";2
"290225 ARATACA";3
"290230 ARATUIPE";2
"290240 AURELINO LEAL";3
"290250 BAIANOPOLIS";1
"290260 BAIXA GRANDE";18
"290265 BANZAE";3
"290270 BARRA";8
"290280 BARRA DA ESTIVA";15
"290290 BARRA DO CHOCA";24
"290300 BARRA DO MENDES";3
"290310 BARRA DO ROCHA";5
"290320 BARREIRAS";246
"290323 BARRO ALTO";3
"290327 BARROCAS";4
"290340 BELMONTE";18
"290350 BELO CAMPO";1
"290360 BIRITINGA";2
"290370 BOA NOVA";2
"290380 BOA VISTA DO TUPIM";5
"290390 BOM JESUS DA LAPA";47
"290395 BOM JESUS DA SERRA";3
"290400 BONINAL";2
"290405 BONITO";9
"290410 BOQUIRA";2
"290420 BOTUPORA";1
"290440 BREJOLANDIA";2
"290450 BROTAS DE MACAUBAS";1
"290460 BRUMADO";118
"290470 BUERAREMA";2
"290475 BURITIRAMA";4
"290485 CABACEIRAS DO PARAGUACU";7
"290490 CACHOEIRA";29
"290500 CACULE";40
"290510 CAEM";1
"290515 CAETANOS";1
"290520 CAETITE";79
"290530 CAFARNAUM";6
"290550 CALDEIRAO GRANDE";3
"290560 CAMACAN";8
"290570 CAMACARI";227
"290580 CAMAMU";5
"290590 CAMPO ALEGRE DE LOURDES";2
"290600 CAMPO FORMOSO";33
"290610 CANAPOLIS";4
"290620 CANARANA";7
"290630 CANAVIEIRAS";13
"290640 CANDEAL";2
"290650 CANDEIAS";118
"290660 CANDIBA";3
"290670 CANDIDO SALES";7
"290680 CANSANCAO";18
"290682 CANUDOS";2
"290685 CAPELA DO ALTO ALEGRE";3
"290687 CAPIM GROSSO";40
"290689 CARAIBAS";1
"290690 CARAVELAS";2
"290700 CARDEAL DA SILVA";3
"290710 CARINHANHA";10
"290720 CASA NOVA";5
"290730 CASTRO ALVES";6
"290750 CATU";41
"290780 CICERO DANTAS";20
"290790 CIPO";5
"290800 COARACI";3
"290820 CONCEICAO DA FEIRA";7
"290830 CONCEICAO DO ALMEIDA";4
"290840 CONCEICAO DO COITE";54
"290850 CONCEICAO DO JACUIPE";26
"290860 CONDE";3
"290870 CONDEUBA";5
"290880 CONTENDAS DO SINCORA";2
"290890 CORACAO DE MARIA";3
"290900 CORDEIROS";1
"290910 CORIBE";5
"290930 CORRENTINA";4
"290940 COTEGIPE";1
"290960 CRISOPOLIS";6
"290980 CRUZ DAS ALMAS";84
"290990 CURACA";4
"291000 DARIO MEIRA";2
"291005 DIAS D'AVILA";34
"291010 DOM BASILIO";4
"291030 ELISIO MEDRADO";3
"291050 ENTRE RIOS";27
"291060 ESPLANADA";2
"291070 EUCLIDES DA CUNHA";54
"291072 EUNAPOLIS";135
"291075 FATIMA";1
"291077 FEIRA DA MATA";1
"291080 FEIRA DE SANTANA";786
"291085 FILADELFIA";8
"291100 FLORESTA AZUL";3
"291110 FORMOSA DO RIO PRETO";6
"291120 GANDU";59
"291130 GENTIO DO OURO";1
"291140 GLORIA";6
"291150 GONGOGI";1
"291160 GOVERNADOR MANGABEIRA";9
"291165 GUAJERU";10
"291170 GUANAMBI";126
"291180 GUARATINGA";5
"291190 IACU";8
"291200 IBIASSUCE";6
"291210 IBICARAI";6
"291220 IBICOARA";1
"291230 IBICUI";6
"291240 IBIPEBA";7
"291250 IBIPITANGA";11
"291280 IBIRAPUA";1
"291290 IBIRATAIA";15
"291310 IBITITA";3
"291320 IBOTIRAMA";10
"291330 ICHU";3
"291340 IGAPORA";6
"291345 IGRAPIUNA";2
"291350 IGUAI";1
"291360 ILHEUS";105
"291370 INHAMBUPE";19
"291380 IPECAETA";3
"291390 IPIAU";32
"291400 IPIRA";60
"291420 IRAJUBA";3
"291430 IRAMAIA";2
"291440 IRAQUARA";6
"291450 IRARA";32
"291460 IRECE";192
"291465 ITABELA";37
"291470 ITABERABA";76
"291480 ITABUNA";334
"291490 ITACARE";11
"291500 ITAETE";7
"291510 ITAGI";4
"291520 ITAGIBA";1
"291530 ITAGIMIRIM";2
"291535 ITAGUACU DA BAHIA";3
"291550 ITAJUIPE";5
"291560 ITAMARAJU";90
"291570 ITAMARI";1
"291580 ITAMBE";6
"291600 ITANHEM";17
"291610 ITAPARICA";18
"291620 ITAPE";1
"291630 ITAPEBI";1
"291640 ITAPETINGA";81
"291650 ITAPICURU";8
"291660 ITAPITANGA";1
"291700 ITIUBA";2
"291710 ITORORO";6
"291720 ITUACU";3
"291730 ITUBERA";25
"291733 IUIU";4
"291735 JABORANDI";4
"291740 JACARACI";11
"291750 JACOBINA";59
"291760 JAGUAQUARA";26
"291770 JAGUARARI";10
"291780 JAGUARIPE";2
"291790 JANDAIRA";5
"291800 JEQUIE";176
"291810 JEREMOABO";30
"291820 JIQUIRICA";2
"291830 JITAUNA";4
"291835 JOAO DOURADO";11
"291840 JUAZEIRO";248
"291845 JUCURUCU";1
"291850 JUSSARA";1
"291855 JUSSARI";1
"291870 LAFAIETE COUTINHO";1
"291880 LAJE";13
"291890 LAJEDAO";1
"291900 LAJEDINHO";3
"291905 LAJEDO DO TABOCAL";1
"291915 LAPAO";4
"291920 LAURO DE FREITAS";323
"291930 LENCOIS";2
"291950 LIVRAMENTO DE NOSSA SENHORA";20
"291955 LUIS EDUARDO MAGALHAES";197
"291960 MACAJUBA";2
"291970 MACARANI";1
"291980 MACAUBAS";29
"291992 MADRE DE DEUS";11
"291995 MAETINGA";8
"292000 MAIQUINIQUE";1
"292010 MAIRI";6
"292045 MANSIDAO";1
"292050 MARACAS";9
"292060 MARAGOGIPE";7
"292070 MARAU";1
"292080 MARCIONILIO SOUZA";1
"292100 MATA DE SAO JOAO";10
"292105 MATINA";9
"292110 MEDEIROS NETO";25
"292120 MIGUEL CALMON";15
"292130 MILAGRES";1
"292140 MIRANGABA";3
"292145 MIRANTE";1
"292150 MONTE SANTO";14
"292160 MORPARA";2
"292170 MORRO DO CHAPEU";24
"292180 MORTUGABA";6
"292190 MUCUGE";1
"292200 MUCURI";14
"292205 MULUNGU DO MORRO";1
"292210 MUNDO NOVO";1
"292220 MUNIZ FERREIRA";1
"292230 MURITIBA";11
"292240 MUTUIPE";21
"292250 NAZARE";20
"292260 NILO PECANHA";4
"292265 NORDESTINA";10
"292270 NOVA CANAA";7
"292273 NOVA FATIMA";2
"292275 NOVA IBIA";2
"292280 NOVA ITARANA";2
"292290 NOVA SOURE";3
"292300 NOVA VICOSA";9
"292310 OLINDINA";7
"292320 OLIVEIRA DOS BREJINHOS";1
"292330 OURICANGAS";2
"292340 PALMAS DE MONTE ALTO";1
"292350 PALMEIRAS";4
"292360 PARAMIRIM";10
"292370 PARATINGA";5
"292380 PARIPIRANGA";9
"292390 PAU BRASIL";1
"292400 PAULO AFONSO";347
"292405 PE DE SERRA";6
"292430 PIATA";4
"292440 PILAO ARCADO";5
"292460 PINDOBACU";8
"292465 PINTADAS";4
"292470 PIRIPA";4
"292480 PIRITIBA";3
"292490 PLANALTINO";2
"292500 PLANALTO";6
"292510 POCOES";25
"292520 POJUCA";14
"292525 PONTO NOVO";9
"292530 PORTO SEGURO";114
"292550 PRADO";11
"292560 PRESIDENTE DUTRA";1
"292570 PRESIDENTE JANIO QUADROS";3
"292575 PRESIDENTE TANCREDO NEVES";6
"292580 QUEIMADAS";13
"292590 QUIJINGUE";7
"292593 QUIXABEIRA";2
"292595 RAFAEL JAMBEIRO";6
"292600 REMANSO";15
"292610 RETIROLANDIA";1
"292620 RIACHAO DAS NEVES";3
"292630 RIACHAO DO JACUIPE";13
"292640 RIACHO DE SANTANA";17
"292650 RIBEIRA DO AMPARO";2
"292660 RIBEIRA DO POMBAL";42
"292665 RIBEIRAO DO LARGO";1
"292670 RIO DE CONTAS";3
"292680 RIO DO ANTONIO";3
"292690 RIO DO PIRES";2
"292700 RIO REAL";16
"292710 RODELAS";11
"292720 RUY BARBOSA";15
"292730 SALINAS DA MARGARIDA";1
"292740 SALVADOR";2972
"292750 SANTA BARBARA";19
"292770 SANTA CRUZ CABRALIA";9
"292790 SANTA INES";3
"292800 SANTALUZ";29
"292810 SANTA MARIA DA VITORIA";32
"292820 SANTANA";12
"292830 SANTANOPOLIS";3
"292840 SANTA RITA DE CASSIA";5
"292850 SANTA TERESINHA";3
"292860 SANTO AMARO";44
"292870 SANTO ANTONIO DE JESUS";121
"292880 SANTO ESTEVAO";26
"292890 SAO DESIDERIO";14
"292895 SAO DOMINGOS";6
"292900 SAO FELIX";28
"292905 SAO FELIX DO CORIBE";5
"292910 SAO FELIPE";5
"292920 SAO FRANCISCO DO CONDE";23
"292925 SAO GABRIEL";1
"292930 SAO GONCALO DOS CAMPOS";21
"292935 SAO JOSE DA VITORIA";1
"292940 SAO MIGUEL DAS MATAS";4
"292950 SAO SEBASTIAO DO PASSE";12
"292960 SAPEACU";7
"292970 SATIRO DIAS";9
"292975 SAUBARA";2
"292980 SAUDE";2
"292990 SEABRA";33
"293010 SENHOR DO BONFIM";116
"293015 SERRA DO RAMALHO";2
"293020 SENTO SE";2
"293030 SERRA DOURADA";2
"293040 SERRA PRETA";3
"293050 SERRINHA";86
"293070 SIMOES FILHO";99
"293077 SOBRADINHO";7
"293080 SOUTO SOARES";4
"293100 TANHACU";4
"293105 TANQUE NOVO";13
"293110 TANQUINHO";3
"293120 TAPEROA";14
"293130 TAPIRAMUTA";1
"293135 TEIXEIRA DE FREITAS";255
"293140 TEODORO SAMPAIO";7
"293150 TEOFILANDIA";4
"293160 TEOLANDIA";2
"293170 TERRA NOVA";2
"293180 TREMEDAL";2
"293190 TUCANO";9
"293200 UAUA";13
"293210 UBAIRA";4
"293220 UBAITABA";8
"293230 UBATA";1
"293245 UMBURANAS";1
"293250 UNA";5
"293260 URANDI";1
"293270 URUCUCA";3
"293280 UTINGA";5
"293290 VALENCA";92
"293300 VALENTE";9
"293305 VARZEA DA ROCA";1
"293315 VARZEA NOVA";1
"293317 VARZEDO";1
"293320 VERA CRUZ";11
"293330 VITORIA DA CONQUISTA";881
"293340 WAGNER";1
"293345 WANDERLEY";3
"293350 WENCESLAU GUIMARAES";6
"293360 XIQUE-XIQUE";12
"310010 ABADIA DOS DOURADOS";1
"310020 ABAETE";11
"310030 ABRE CAMPO";4
"310050 ACUCENA";1
"310090 AGUAS FORMOSAS";14
"310100 AGUAS VERMELHAS";2
"310110 AIMORES";3
"310130 ALAGOA";1
"310150 ALEM PARAIBA";43
"310160 ALFENAS";148
"310163 ALFREDO VASCONCELOS";1
"310170 ALMENARA";53
"310190 ALPINOPOLIS";10
"310200 ALTEROSA";5
"310210 ALTO RIO DOCE";4
"310230 ALVINOPOLIS";3
"310260 ANDRADAS";53
"310270 CACHOEIRA DE PAJEU";7
"310280 ANDRELANDIA";14
"310285 ANGELANDIA";1
"310290 ANTONIO CARLOS";6
"310300 ANTONIO DIAS";1
"310310 ANTONIO PRADO DE MINAS";1
"310330 ARACITABA";1
"310340 ARACUAI";24
"310350 ARAGUARI";143
"310360 ARANTINA";3
"310370 ARAPONGA";2
"310375 ARAPORA";2
"310390 ARAUJOS";3
"310400 ARAXA";469
"310410 ARCEBURGO";3
"310420 ARCOS";55
"310430 AREADO";9
"310440 ARGIRITA";2
"310450 ARINOS";14
"310460 ASTOLFO DUTRA";3
"310470 ATALEIA";1
"310490 BAEPENDI";20
"310510 BAMBUI";30
"310530 BANDEIRA DO SUL";15
"310540 BARAO DE COCAIS";27
"310550 BARAO DE MONTE ALTO";4
"310560 BARBACENA";287
"310590 BARROSO";10
"310620 BELO HORIZONTE";5864
"310630 BELO ORIENTE";10
"310640 BELO VALE";1
"310650 BERILO";6
"310665 BERIZAL";1
"310670 BETIM";237
"310690 BICAS";23
"310700 BIQUINHAS";1
"310710 BOA ESPERANCA";49
"310730 BOCAIUVA";39
"310740 BOM DESPACHO";96
"310750 BOM JARDIM DE MINAS";2
"310780 BOM JESUS DO GALHO";3
"310790 BOM REPOUSO";1
"310800 BOM SUCESSO";2
"310810 BONFIM";1
"310830 BORDA DA MATA";13
"310840 BOTELHOS";6
"310850 BOTUMIRIM";1
"310855 BRASILANDIA DE MINAS";5
"310860 BRASILIA DE MINAS";23
"310870 BRAS PIRES";1
"310890 BRAZOPOLIS";5
"310900 BRUMADINHO";59
"310910 BUENO BRANDAO";6
"310925 BUGRE";3
"310930 BURITIS";11
"310940 BURITIZEIRO";9
"310945 CABECEIRA GRANDE";1
"310950 CABO VERDE";8
"310960 CACHOEIRA DA PRATA";1
"310990 CAETANOPOLIS";1
"311000 CAETE";14
"311010 CAIANA";1
"311030 CALDAS";5
"311050 CAMANDUCAIA";14
"311060 CAMBUI";47
"311070 CAMBUQUIRA";9
"311090 CAMPANHA";9
"311100 CAMPESTRE";6
"311110 CAMPINA VERDE";7
"311120 CAMPO BELO";133
"311130 CAMPO DO MEIO";3
"311150 CAMPOS ALTOS";20
"311160 CAMPOS GERAIS";16
"311170 CANAA";2
"311180 CANAPOLIS";3
"311190 CANA VERDE";1
"311200 CANDEIAS";5
"311210 CAPARAO";5
"311230 CAPELINHA";46
"311250 CAPIM BRANCO";2
"311260 CAPINOPOLIS";10
"311270 CAPITAO ENEAS";7
"311280 CAPITOLIO";3
"311300 CARAI";1
"311310 CARANAIBA";2
"311320 CARANDAI";54
"311330 CARANGOLA";58
"311340 CARATINGA";171
"311360 CAREACU";3
"311370 CARLOS CHAGAS";7
"311390 CARMO DA CACHOEIRA";4
"311410 CARMO DE MINAS";3
"311420 CARMO DO CAJURU";2
"311430 CARMO DO PARANAIBA";39
"311440 CARMO DO RIO CLARO";8
"311450 CARMOPOLIS DE MINAS";20
"311455 CARNEIRINHO";1
"311460 CARRANCAS";1
"311470 CARVALHOPOLIS";2
"311480 CARVALHOS";1
"311510 CASSIA";6
"311520 CONCEICAO DA BARRA DE MINAS";1
"311530 CATAGUASES";88
"311535 CATAS ALTAS";2
"311545 CATUJI";2
