CNES - Recursos Físicos - Urgência - Leitos de Repouso / Observação - Brasil
Leitos Repouso/Observação Indif por Município
Período:Jul/2024
"Município";"Leitos_Repouso/Observação_Indif"
"291120 GANDU";7
"291140 GLORIA";3
"291150 GONGOGI";3
"291170 GUANAMBI";17
"291190 IACU";6
"291200 IBIASSUCE";6
"291210 IBICARAI";5
"291280 IBIRAPUA";6
"291290 IBIRATAIA";4
"291320 IBOTIRAMA";4
"291330 ICHU";2
"291340 IGAPORA";1
"291350 IGUAI";2
"291360 ILHEUS";31
"291380 IPECAETA";4
"291390 IPIAU";7
"291400 IPIRA";13
"291410 IPUPIARA";3
"291420 IRAJUBA";1
"291440 IRAQUARA";1
"291450 IRARA";1
"291460 IRECE";18
"291470 ITABERABA";1
"291480 ITABUNA";4
"291500 ITAETE";4
"291530 ITAGIMIRIM";1
"291550 ITAJUIPE";3
"291560 ITAMARAJU";2
"291590 ITANAGRA";2
"291600 ITANHEM";5
"291610 ITAPARICA";5
"291620 ITAPE";3
"291640 ITAPETINGA";11
"291650 ITAPICURU";4
"291660 ITAPITANGA";1
"291680 ITARANTIM";1
"291690 ITIRUCU";5
"291700 ITIUBA";1
"291710 ITORORO";2
"291730 ITUBERA";5
"291735 JABORANDI";4
"291750 JACOBINA";29
"291760 JAGUAQUARA";4
"291770 JAGUARARI";2
"291800 JEQUIE";24
"291810 JEREMOABO";5
"291830 JITAUNA";3
"291840 JUAZEIRO";22
"291855 JUSSARI";3
"291860 JUSSIAPE";6
"291880 LAJE";1
"291890 LAJEDAO";3
"291920 LAURO DE FREITAS";97
"291930 LENCOIS";1
"291940 LICINIO DE ALMEIDA";2
"291950 LIVRAMENTO DE NOSSA SENHORA";8
"291955 LUIS EDUARDO MAGALHAES";10
"291960 MACAJUBA";5
"291980 MACAUBAS";7
"291990 MACURURE";3
"291992 MADRE DE DEUS";1
"292000 MAIQUINIQUE";2
"292010 MAIRI";3
"292020 MALHADA";2
"292040 MANOEL VITORINO";2
"292050 MARACAS";4
"292060 MARAGOGIPE";2
"292080 MARCIONILIO SOUZA";1
"292100 MATA DE SAO JOAO";4
"292105 MATINA";4
"292110 MEDEIROS NETO";3
"292130 MILAGRES";4
"292145 MIRANTE";1
"292150 MONTE SANTO";5
"292170 MORRO DO CHAPEU";6
"292190 MUCUGE";3
"292200 MUCURI";4
"292210 MUNDO NOVO";3
"292230 MURITIBA";3
"292240 MUTUIPE";1
"292250 NAZARE";1
"292260 NILO PECANHA";3
"292265 NORDESTINA";3
"292270 NOVA CANAA";1
"292273 NOVA FATIMA";3
"292275 NOVA IBIA";6
"292290 NOVA SOURE";2
"292300 NOVA VICOSA";7
"292310 OLINDINA";6
"292340 PALMAS DE MONTE ALTO";4
"292360 PARAMIRIM";7
"292370 PARATINGA";3
"292390 PAU BRASIL";2
"292400 PAULO AFONSO";28
"292440 PILAO ARCADO";3
"292450 PINDAI";2
"292470 PIRIPA";2
"292480 PIRITIBA";3
"292490 PLANALTINO";4
"292510 POCOES";4
"292520 POJUCA";23
"292525 PONTO NOVO";4
"292530 PORTO SEGURO";11
"292540 POTIRAGUA";1
"292550 PRADO";8
"292570 PRESIDENTE JANIO QUADROS";3
"292575 PRESIDENTE TANCREDO NEVES";4
"292595 RAFAEL JAMBEIRO";1
"292600 REMANSO";8
"292630 RIACHAO DO JACUIPE";2
"292640 RIACHO DE SANTANA";1
"292660 RIBEIRA DO POMBAL";2
"292680 RIO DO ANTONIO";5
"292700 RIO REAL";13
"292720 RUY BARBOSA";5
"292740 SALVADOR";523
"292750 SANTA BARBARA";2
"292760 SANTA BRIGIDA";2
"292770 SANTA CRUZ CABRALIA";3
"292790 SANTA INES";9
"292800 SANTALUZ";1
"292810 SANTA MARIA DA VITORIA";11
"292820 SANTANA";4
"292830 SANTANOPOLIS";1
"292840 SANTA RITA DE CASSIA";3
"292850 SANTA TERESINHA";2
"292860 SANTO AMARO";5
"292870 SANTO ANTONIO DE JESUS";36
"292880 SANTO ESTEVAO";23
"292890 SAO DESIDERIO";1
"292900 SAO FELIX";1
"292905 SAO FELIX DO CORIBE";2
"292920 SAO FRANCISCO DO CONDE";2
"292930 SAO GONCALO DOS CAMPOS";3
"292940 SAO MIGUEL DAS MATAS";2
"292950 SAO SEBASTIAO DO PASSE";2
"292960 SAPEACU";4
"292970 SATIRO DIAS";8
"292980 SAUDE";1
"292990 SEABRA";1
"293010 SENHOR DO BONFIM";17
"293015 SERRA DO RAMALHO";8
"293020 SENTO SE";6
"293050 SERRINHA";13
"293060 SERROLANDIA";2
"293070 SIMOES FILHO";12
"293077 SOBRADINHO";1
"293090 TABOCAS DO BREJO VELHO";3
"293105 TANQUE NOVO";8
"293130 TAPIRAMUTA";1
"293135 TEIXEIRA DE FREITAS";27
"293140 TEODORO SAMPAIO";2
"293150 TEOFILANDIA";3
"293160 TEOLANDIA";1
"293180 TREMEDAL";3
"293190 TUCANO";8
"293230 UBATA";3
"293240 UIBAI";1
"293250 UNA";1
"293270 URUCUCA";6
"293280 UTINGA";4
"293290 VALENCA";5
"293300 VALENTE";12
"293305 VARZEA DA ROCA";2
"293310 VARZEA DO POCO";2
"293315 VARZEA NOVA";1
"293320 VERA CRUZ";4
"293325 VEREDA";3
"293330 VITORIA DA CONQUISTA";16
"293340 WAGNER";4
"293350 WENCESLAU GUIMARAES";1
"293360 XIQUE-XIQUE";3
"310020 ABAETE";5
"310070 AGUA COMPRIDA";2
"310080 AGUANIL";4
"310100 AGUAS VERMELHAS";6
"310110 AIMORES";3
"310160 ALFENAS";4
"310170 ALMENARA";2
"310230 ALVINOPOLIS";1
"310270 CACHOEIRA DE PAJEU";2
"310300 ANTONIO DIAS";4
"310310 ANTONIO PRADO DE MINAS";4
"310340 ARACUAI";4
"310350 ARAGUARI";12
"310370 ARAPONGA";2
"310390 ARAUJOS";4
"310400 ARAXA";9
"310410 ARCEBURGO";4
"310430 AREADO";2
"310460 ASTOLFO DUTRA";6
"310470 ATALEIA";3
"310490 BAEPENDI";3
"310510 BAMBUI";6
"310520 BANDEIRA";2
"310540 BARAO DE COCAIS";1
"310560 BARBACENA";40
"310570 BARRA LONGA";6
"310590 BARROSO";3
"310620 BELO HORIZONTE";557
"310630 BELO ORIENTE";2
"310670 BETIM";61
"310690 BICAS";2
"310710 BOA ESPERANCA";4
"310730 BOCAIUVA";3
"310740 BOM DESPACHO";2
"310760 BOM JESUS DA PENHA";2
"310780 BOM JESUS DO GALHO";2
"310800 BOM SUCESSO";2
"310830 BORDA DA MATA";19
"310890 BRAZOPOLIS";3
"310900 BRUMADINHO";2
"310910 BUENO BRANDAO";3
"310930 BURITIS";2
"310940 BURITIZEIRO";2
"310990 CAETANOPOLIS";2
"311000 CAETE";2
"311020 CAJURI";3
"311050 CAMANDUCAIA";2
"311060 CAMBUI";6
"311090 CAMPANHA";1
"311100 CAMPESTRE";6
"311120 CAMPO BELO";6
"311150 CAMPOS ALTOS";2
"311160 CAMPOS GERAIS";1
"311180 CANAPOLIS";2
"311230 CAPELINHA";3
"311250 CAPIM BRANCO";2
"311260 CAPINOPOLIS";6
"311320 CARANDAI";3
"311330 CARANGOLA";5
"311340 CARATINGA";2
"311350 CARBONITA";1
"311390 CARMO DA CACHOEIRA";3
"311410 CARMO DE MINAS";5
"311430 CARMO DO PARANAIBA";2
"311480 CARVALHOS";2
"311530 CATAGUASES";3
"311550 CAXAMBU";3
"311580 CENTRALINA";3
"311615 CHAPADA GAUCHA";5
"311640 CLARAVAL";1
"311660 CLAUDIO";2
"311700 COMERCINHO";3
"311710 CONCEICAO DA APARECIDA";1
"311730 CONCEICAO DAS ALAGOAS";3
"311740 CONCEICAO DE IPANEMA";1
"311800 CONGONHAS";17
"311810 CONGONHAS DO NORTE";6
"311820 CONQUISTA";1
"311830 CONSELHEIRO LAFAIETE";28
"311860 CONTAGEM";38
"311880 CORACAO DE JESUS";6
"311890 CORDISBURGO";15
"311910 CORINTO";4
"311920 COROACI";1
"311930 COROMANDEL";4
"311940 CORONEL FABRICIANO";13
"311995 CORREGO FUNDO";1
"312090 CURVELO";4
"312140 DESTERRO DE ENTRE RIOS";3
"312160 DIAMANTINA";8
"312180 DIONISIO";1
"312200 DIVINO";1
"312230 DIVINOPOLIS";15
"312270 DOM SILVERIO";2
"312390 ENTRE RIOS DE MINAS";1
"312400 ERVALIA";5
"312410 ESMERALDAS";8
"312420 ESPERA FELIZ";6
"312430 ESPINOSA";30
"312450 ESTIVA";2
"312480 ESTRELA DO SUL";1
"312560 FELISBURGO";2
"312570 FELIXLANDIA";11
"312590 FERROS";4
"312610 FORMIGA";10
"312620 FORMOSO";1
"312650 FRANCISCO BADARO";1
"312670 FRANCISCO SA";2
"312760 GOUVEIA";1
"312770 GOVERNADOR VALADARES";42
"312800 GUANHAES";3
"312830 GUARANESIA";2
"312970 IBIRACI";3
"312980 IBIRITE";22
"313010 IGARAPE";2
"313055 IMBE DE MINAS";3
"313070 INDIANOPOLIS";2
"313090 INHAPIM";2
"313120 IPANEMA";1
"313130 IPATINGA";84
"313140 IPIACU";2
"313170 ITABIRA";33
"313190 ITABIRITO";2
"313240 ITAJUBA";13
"313250 ITAMARANDIBA";1
"313260 ITAMARATI DE MINAS";3
"313270 ITAMBACURI";5
"313280 ITAMBE DO MATO DENTRO";3
"313300 ITAMONTE";4
"313310 ITANHANDU";2
"313330 ITAOBIM";3
"313340 ITAPAGIPE";2
"313350 ITAPECERICA";2
"313360 ITAPEVA";8
"313380 ITAUNA";4
"313420 ITUIUTABA";10
"313470 JACINTO";3
"313490 JACUTINGA";10
"313510 JANAUBA";10
"313520 JANUARIA";19
"313540 JECEABA";4
"313550 JEQUERI";2
"313600 JOAIMA";3
"313620 JOAO MONLEVADE";1
"313630 JOAO PINHEIRO";2
"313650 JORDANIA";2
"313665 JUATUBA";2
"313670 JUIZ DE FORA";85
"313690 JURUAIA";1
"313720 LAGOA DA PRATA";1
"313730 LAGOA DOS PATOS";4
"313750 LAGOA FORMOSA";3
"313760 LAGOA SANTA";7
"313770 LAJINHA";9
"313780 LAMBARI";1
"313790 LAMIM";1
"313800 LARANJAL";1
"313820 LAVRAS";21
"313860 LIMA DUARTE";1
"313862 LIMEIRA DO OESTE";2
"313870 LUMINARIAS";1
"313880 LUZ";5
"313890 MACHACALIS";2
"313900 MACHADO";2
"313930 MANGA";10
"313940 MANHUACU";2
"313990 MARIA DA FE";6
"314000 MARIANA";3
"314050 MARTINHO CAMPOS";7
"314070 MATEUS LEME";3
"314080 MATIAS BARBOSA";1
"314085 MATIAS CARDOSO";4
"314110 MATOZINHOS";1
"314130 MEDEIROS";2
"314140 MEDINA";5
"314180 MINAS NOVAS";1
"314260 MONSENHOR PAULO";4
"314280 MONTE ALEGRE DE MINAS";6
"314290 MONTE AZUL";6
"314310 MONTE CARMELO";2
"314330 MONTES CLAROS";40
"314340 MONTE SIAO";4
"314390 MURIAE";29
"314410 MUZAMBINHO";4
"314440 NATERCIA";4
"314450 NAZARENO";2
"314470 NOVA ERA";6
"314480 NOVA LIMA";36
"314500 NOVA PONTE";2
"314520 NOVA SERRANA";22
"314560 OLIVEIRA";2
"314590 OURO BRANCO";5
"314610 OURO PRETO";7
"314630 PADRE PARAISO";3
"314670 PALMA";2
"314700 PARACATU";3
"314710 PARA DE MINAS";10
"314720 PARAGUACU";2
"314730 PARAISOPOLIS";2
"314750 PASSABEM";2
"314770 PASSA TEMPO";1
"314790 PASSOS";10
"314800 PATOS DE MINAS";6
"314810 PATROCINIO";3
"314870 PEDRA AZUL";6
"314930 PEDRO LEOPOLDO";31
"314970 PERDIGAO";2
"314990 PERDOES";1
"315015 PIEDADE DE CARATINGA";3
"315030 PIEDADE DO RIO GRANDE";3
"315110 PIRAPETINGA";2
"315130 PIRAUBA";3
"315150 PIUMHI";3
"315160 PLANURA";4
"315180 POCOS DE CALDAS";74
"315190 POCRANE";1
"315200 POMPEU";5
"315210 PONTE NOVA";8
"315220 PORTEIRINHA";2
"315250 POUSO ALEGRE";21
"315270 PRADOS";6
"315310 PRESIDENTE BERNARDES";1
"315400 RAUL SOARES";2
"315420 RESENDE COSTA";4
"315460 RIBEIRAO DAS NEVES";17
"315470 RIBEIRAO VERMELHO";1
"315480 RIO ACIMA";8
"315530 RIO MANSO";7
"315570 RIO PIRACICABA";3
"315640 ROMARIA";5
"315670 SABARA";19
"315690 SACRAMENTO";1
"315700 SALINAS";11
"315710 SALTO DA DIVISA";3
"315780 SANTA LUZIA";9
"315800 SANTA MARIA DE ITABIRA";2
"315900 SANTANA DO RIACHO";8
"315920 SANTA RITA DE CALDAS";3
"315930 SANTA RITA DE JACUTINGA";2
"316040 SANTO ANTONIO DO MONTE";2
"316045 SANTO ANTONIO DO RETIRO";2
"316070 SANTOS DUMONT";3
"316100 SAO DOMINGOS DO PRATA";1
"316110 SAO FRANCISCO";2
"316190 SAO GONCALO DO RIO ABAIXO";2
"316210 SAO GOTARDO";1
"316250 SAO JOAO DEL REI";14
"316255 SAO JOAO DO MANHUACU";3
"316257 SAO JOAO DO MANTENINHA";3
"316270 SAO JOAO DO PARAISO";4
"316280 SAO JOAO EVANGELISTA";19
"316292 SAO JOAQUIM DE BICAS";9
"316350 SAO JOSE DO JACURI";3
"316370 SAO LOURENCO";12
"316390 SAO PEDRO DA UNIAO";2
"316430 SAO ROQUE DE MINAS";2
"316470 SAO SEBASTIAO DO PARAISO";16
"316530 SAO VICENTE DE MINAS";1
"316553 SARZEDO";5
"316600 SENHORA DE OLIVEIRA";1
"316620 SENHORA DOS REMEDIOS";1
"316640 SERITINGA";3
"316680 SERRA DO SALITRE";1
"316690 SERRANIA";1
"316720 SETE LAGOAS";10
"316800 TAIOBEIRAS";6
"316840 TARUMIRIM";1
"316860 TEOFILO OTONI";11
"316870 TIMOTEO";15
"316930 TRES CORACOES";2
"316960 TUPACIGUARA";10
"316970 TURMALINA";1
"316990 UBA";6
"317010 UBERABA";94
"317020 UBERLANDIA";51
"317040 UNAI";3
"317070 VARGINHA";32
"317080 VARZEA DA PALMA";14
"317120 VESPASIANO";52
"317130 VICOSA";12
"317160 VIRGEM DA LAPA";3
"317170 VIRGINIA";11
"317180 VIRGINOPOLIS";4
"317200 VISCONDE DO RIO BRANCO";1
"320010 AFONSO CLAUDIO";2
"320013 AGUIA BRANCA";2
"320016 AGUA DOCE DO NORTE";3
"320020 ALEGRE";3
"320040 ANCHIETA";6
"320060 ARACRUZ";5
"320090 BARRA DE SAO FRANCISCO";4
"320100 BOA ESPERANCA";2
"320115 BREJETUBA";4
"320120 CACHOEIRO DE ITAPEMIRIM";42
"320130 CARIACICA";78
"320140 CASTELO";6
"320150 COLATINA";5
"320160 CONCEICAO DA BARRA";3
"320170 CONCEICAO DO CASTELO";8
"320220 FUNDAO";14
"320240 GUARAPARI";4
"320245 IBATIBA";3
"320270 ITAGUACU";1
"320280 ITAPEMIRIM";4
"320290 ITARANA";3
"320300 IUNA";4
"320305 JAGUARE";3
"320310 JERONIMO MONTEIRO";4
"320313 JOAO NEIVA";3
"320316 LARANJA DA TERRA";2
"320320 LINHARES";11
"320332 MARATAIZES";4
"320334 MARECHAL FLORIANO";1
"320340 MIMOSO DO SUL";2
"320350 MONTANHA";2
"320380 MUQUI";1
"320400 PANCAS";3
"320405 PEDRO CANARIO";2
"320410 PINHEIROS";1
"320420 PIUMA";4
"320425 PONTO BELO";1
"320440 RIO NOVO DO SUL";1
"320450 SANTA LEOPOLDINA";2
"320455 SANTA MARIA DE JETIBA";3
"320480 SAO JOSE DO CALCADO";6
"320490 SAO MATEUS";31
"320495 SAO ROQUE DO CANAA";1
"320500 SERRA";49
"320503 VARGEM ALTA";7
"320506 VENDA NOVA DO IMIGRANTE";11
"320510 VIANA";11
"320517 VILA VALERIO";2
"320520 VILA VELHA";43
"320530 VITORIA";106
"330010 ANGRA DOS REIS";52
"330015 APERIBE";4
"330020 ARARUAMA";24
"330022 AREAL";4
"330023 ARMACAO DOS BUZIOS";4
"330025 ARRAIAL DO CABO";6
"330030 BARRA DO PIRAI";28
"330040 BARRA MANSA";16
"330045 BELFORD ROXO";2
"330070 CABO FRIO";38
"330080 CACHOEIRAS DE MACACU";2
"330090 CAMBUCI";3
"330093 CARAPEBUS";1
"330100 CAMPOS DOS GOYTACAZES";62
"330110 CANTAGALO";4
"330120 CARMO";8
"330130 CASIMIRO DE ABREU";2
"330150 CORDEIRO";10
"330160 DUAS BARRAS";2
"330170 DUQUE DE CAXIAS";92
"330180 ENGENHEIRO PAULO DE FRONTIN";1
"330187 IGUABA GRANDE";13
"330190 ITABORAI";36
"330200 ITAGUAI";38
"330205 ITALVA";6
"330210 ITAOCARA";6
"330220 ITAPERUNA";27
"330225 ITATIAIA";1
"330230 LAJE DO MURIAE";1
"330240 MACAE";78
"330250 MAGE";36
"330260 MANGARATIBA";3
"330270 MARICA";14
"330280 MENDES";3
"330285 MESQUITA";11
"330290 MIGUEL PEREIRA";4
"330300 MIRACEMA";9
"330310 NATIVIDADE";6
"330320 NILOPOLIS";14
"330330 NITEROI";137
"330340 NOVA FRIBURGO";33
"330350 NOVA IGUACU";72
"330360 PARACAMBI";10
"330370 PARAIBA DO SUL";8
"330390 PETROPOLIS";54
"330395 PINHEIRAL";2
"330400 PIRAI";7
"330410 PORCIUNCULA";1
"330412 QUATIS";1
"330414 QUEIMADOS";9
"330415 QUISSAMA";7
"330420 RESENDE";44
"330430 RIO BONITO";12
"330440 RIO CLARO";6
"330450 RIO DAS FLORES";3
"330452 RIO DAS OSTRAS";13
"330455 RIO DE JANEIRO";1083
"330460 SANTA MARIA MADALENA";3
"330470 SANTO ANTONIO DE PADUA";5
"330475 SAO FRANCISCO DE ITABAPOANA";12
"330480 SAO FIDELIS";1
"330490 SAO GONCALO";91
"330500 SAO JOAO DA BARRA";24
"330510 SAO JOAO DE MERITI";56
"330513 SAO JOSE DE UBA";2
"330515 SAO JOSE DO VALE DO RIO PRETO";1
"330520 SAO PEDRO DA ALDEIA";12
"330530 SAO SEBASTIAO DO ALTO";4
"330540 SAPUCAIA";6
"330550 SAQUAREMA";27
"330555 SEROPEDICA";15
"330560 SILVA JARDIM";2
"330570 SUMIDOURO";2
"330575 TANGUA";1
"330580 TERESOPOLIS";24
"330600 TRES RIOS";19
"330610 VALENCA";8
"330620 VASSOURAS";8
"330630 VOLTA REDONDA";38
"350010 ADAMANTINA";10
"350020 ADOLFO";4
"350040 AGUAS DA PRATA";4
"350050 AGUAS DE LINDOIA";1
"350060 AGUAS DE SAO PEDRO";6
"350075 ALAMBARI";1
"350110 ALTO ALEGRE";2
"350160 AMERICANA";50
"350170 AMERICO BRASILIENSE";2
"350190 AMPARO";29
"350280 ARACATUBA";32
"350290 ARACOIABA DA SERRA";1
"350320 ARARAQUARA";42
"350330 ARARAS";17
"350340 AREALVA";3
"350360 AREIOPOLIS";2
"350380 ARTUR NOGUEIRA";7
"350390 ARUJA";9
"350400 ASSIS";17
"350410 ATIBAIA";56
"350420 AURIFLAMA";2
"350440 AVANHANDAVA";1
"350460 BADY BASSITT";1
"350480 BALSAMO";14
"350490 BANANAL";3
"350510 BARBOSA";1
"350520 BARIRI";3
"350530 BARRA BONITA";2
"350535 BARRA DO CHAPEU";2
"350550 BARRETOS";42
"350560 BARRINHA";6
"350570 BARUERI";46
"350580 BASTOS";11
"350590 BATATAIS";3
"350600 BAURU";49
"350610 BEBEDOURO";61
"350630 BERNARDINO DE CAMPOS";3
"350635 BERTIOGA";1
"350640 BILAC";2
"350650 BIRIGUI";11
"350670 BOA ESPERANCA DO SUL";1
"350680 BOCAINA";2
"350690 BOFETE";12
"350700 BOITUVA";8
"350710 BOM JESUS DOS PERDOES";1
"350740 BORBOREMA";8
"350750 BOTUCATU";20
"350760 BRAGANCA PAULISTA";33
"350800 BURI";3
"350810 BURITAMA";3
"350840 CABREUVA";21
"350850 CACAPAVA";8
"350870 CACONDE";5
"350880 CAFELANDIA";4
"350890 CAIABU";4
"350900 CAIEIRAS";18
"350920 CAJAMAR";22
"350925 CAJATI";1
"350930 CAJOBI";8
"350950 CAMPINAS";188
"350960 CAMPO LIMPO PAULISTA";9
"350970 CAMPOS DO JORDAO";11
"350990 CANANEIA";2
"351010 CANDIDO RODRIGUES";4
"351020 CAPAO BONITO";1
"351040 CAPIVARI";15
"351050 CARAGUATATUBA";43
"351060 CARAPICUIBA";29
"351070 CARDOSO";8
"351080 CASA BRANCA";46
"351090 CASSIA DOS COQUEIROS";2
"351100 CASTILHO";4
"351110 CATANDUVA";28
"351130 CEDRAL";7
"351140 CERQUEIRA CESAR";1
"351150 CERQUILHO";6
"351160 CESARIO LANGE";4
"351220 CONCHAL";16
"351260 CORONEL MACEDO";1
"351280 COSMOPOLIS";1
"351300 COTIA";38
"351350 CUBATAO";13
"351370 DESCALVADO";1
"351380 DIADEMA";73
"351390 DIVINOLANDIA";4
"351430 DOURADO";3
"351440 DRACENA";19
"351480 ELDORADO";1
"351500 EMBU DAS ARTES";25
"351510 EMBU-GUACU";11
"351530 ESTRELA DO NORTE";1
"351550 FERNANDOPOLIS";1
"351560 FERNANDO PRESTES";1
"351565 FERNAO";1
"351570 FERRAZ DE VASCONCELOS";21
"351620 FRANCA";77
"351630 FRANCISCO MORATO";18
"351640 FRANCO DA ROCHA";39
"351670 GARCA";4
"351690 GENERAL SALGADO";4
"351700 GETULINA";4
"351740 GUAIRA";1
"351760 GUAPIARA";2
"351810 GUARANTA";16
"351820 GUARARAPES";5
"351840 GUARATINGUETA";21
"351860 GUARIBA";8
"351870 GUARUJA";45
"351880 GUARULHOS";123
"351900 HERCULANDIA";2
"351905 HOLAMBRA";2
"351907 HORTOLANDIA";17
"351910 IACANGA";3
"351950 IBIRAREMA";14
"351960 IBITINGA";3
"352010 IGARAPAVA";7
"352020 IGARATA";8
"352030 IGUAPE";4
"352040 ILHABELA";1
"352050 INDAIATUBA";22
"352070 INDIAPORA";4
"352080 INUBIA PAULISTA";1
"352100 IPERO";1
"352120 IPORANGA";1
"352170 ITABERA";6
"352180 ITAI";7
"352210 ITANHAEM";2
"352220 ITAPECERICA DA SERRA";6
"352230 ITAPETININGA";1
"352240 ITAPEVA";5
"352250 ITAPEVI";23
"352260 ITAPIRA";9
"352270 ITAPOLIS";8
"352280 ITAPORANGA";4
"352310 ITAQUAQUECETUBA";24
"352320 ITARARE";4
"352340 ITATIBA";7
"352350 ITATINGA";3
"352390 ITU";20
"352430 JABOTICABAL";10
"352440 JACAREI";39
"352450 JACI";4
"352470 JAGUARIUNA";6
"352480 JALES";23
"352500 JANDIRA";24
"352520 JARINU";1
"352530 JAU";10
"352550 JOANOPOLIS";4
"352590 JUNDIAI";130
"352620 JUQUITIBA";2
"352670 LEME";26
"352680 LENCOIS PAULISTA";2
"352690 LIMEIRA";42
"352710 LINS";25
"352720 LORENA";38
"352730 LOUVEIRA";5
"352760 LUIS ANTONIO";6
"352820 MACEDONIA";1
"352850 MAIRIPORA";6
"352860 MANDURI";7
"352880 MARACAI";3
"352900 MARILIA";14
"352940 MAUA";61
"352970 MIGUELOPOLIS";4
"352990 MIRACATU";12
"353020 MIRANTE DO PARANAPANEMA";9
"353040 MIRASSOLANDIA";2
"353050 MOCOCA";4
"353060 MOGI DAS CRUZES";35
"353070 MOGI GUACU";14
"353080 MOGI MIRIM";10
"353110 MONGAGUA";7
"353130 MONTE ALTO";4
"353140 MONTE APRAZIVEL";5
"353150 MONTE AZUL PAULISTA";1
"353180 MONTE MOR";3
"353200 MORUNGABA";3
"353240 NAZARE PAULISTA";5
"353250 NEVES PAULISTA";6
"353260 NHANDEARA";4
"353290 NOVA EUROPA";6
"353300 NOVA GRANADA";12
"353360 NUPORANGA";2
"353390 OLIMPIA";6
"353440 OSASCO";71
"353460 OSVALDO CRUZ";14
"353470 OURINHOS";16
"353475 OUROESTE";5
"353520 PALMEIRA D'OESTE";5
"353560 PARAIBUNA";5
"353570 PARAISO";1
"353580 PARANAPANEMA";6
"353610 PARDINHO";8
"353630 PATROCINIO PAULISTA";4
"353650 PAULINIA";6
"353670 PEDERNEIRAS";19
"353700 PEDREGULHO";3
"353710 PEDREIRA";20
"353730 PENAPOLIS";1
"353750 PEREIRAS";1
"353760 PERUIBE";3
"353770 PIACATU";1
"353780 PIEDADE";4
"353790 PILAR DO SUL";8
"353800 PINDAMONHANGABA";5
"353810 PINDORAMA";4
"353820 PINHALZINHO";3
"353870 PIRACICABA";86
"353880 PIRAJU";13
"353890 PIRAJUI";8
"353900 PIRANGI";9
"353920 PIRAPOZINHO";2
"353930 PIRASSUNUNGA";31
"353940 PIRATININGA";1
"353950 PITANGUEIRAS";6
"353990 POLONI";6
"354000 POMPEIA";2
"354020 PONTAL";6
"354040 POPULINA";3
"354050 PORANGABA";1
"354060 PORTO FELIZ";3
"354070 PORTO FERREIRA";2
"354080 POTIRENDABA";13
"354100 PRAIA GRANDE";23
"354140 PRESIDENTE PRUDENTE";55
"354160 PROMISSAO";4
"354220 RANCHARIA";1
"354240 REGENTE FEIJO";3
"354250 REGINOPOLIS";4
"354260 REGISTRO";16
"354280 RIBEIRA";3
"354300 RIBEIRAO BRANCO";2
"354310 RIBEIRAO CORRENTE";2
"354330 RIBEIRAO PIRES";26
"354340 RIBEIRAO PRETO";118
"354360 RIFAINA";1
"354370 RINCAO";5
"354390 RIO CLARO";13
"354400 RIO DAS PEDRAS";9
"354410 RIO GRANDE DA SERRA";12
"354425 ROSANA";4
"354430 ROSEIRA";1
"354490 SALES OLIVEIRA";5
"354510 SALMOURAO";3
"354515 SALTINHO";1
"354520 SALTO";3
"354540 SALTO GRANDE";4
"354580 SANTA BARBARA D'OESTE";7
"354600 SANTA BRANCA";4
"354620 SANTA CRUZ DA CONCEICAO";1
"354630 SANTA CRUZ DAS PALMEIRAS";6
"354640 SANTA CRUZ DO RIO PARDO";1
"354660 SANTA FE DO SUL";15
"354670 SANTA GERTRUDES";12
"354680 SANTA ISABEL";8
"354710 SANTA MERCEDES";1
"354730 SANTANA DE PARNAIBA";2
"354750 SANTA RITA DO PASSA QUATRO";2
"354760 SANTA ROSA DE VITERBO";4
"354780 SANTO ANDRE";176
"354790 SANTO ANTONIO DA ALEGRIA";4
"354805 SANTO ANTONIO DO ARACANGUA";1
"354850 SANTOS";72
"354860 SAO BENTO DO SAPUCAI";2
"354870 SAO BERNARDO DO CAMPO";229
"354880 SAO CAETANO DO SUL";66
"354890 SAO CARLOS";37
"354910 SAO JOAO DA BOA VISTA";11
"354940 SAO JOAQUIM DA BARRA";6
"354960 SAO JOSE DO BARREIRO";2
"354970 SAO JOSE DO RIO PARDO";9
"354980 SAO JOSE DO RIO PRETO";81
"354990 SAO JOSE DOS CAMPOS";141
"355010 SAO MANUEL";7
"355020 SAO MIGUEL ARCANJO";1
"355030 SAO PAULO";1676
"355040 SAO PEDRO";1
"355060 SAO ROQUE";15
"355070 SAO SEBASTIAO";20
"355080 SAO SEBASTIAO DA GRAMA";4
"355090 SAO SIMAO";2
"355100 SAO VICENTE";49
"355150 SERRANA";2
"355160 SERRA NEGRA";5
"355170 SERTAOZINHO";19
"355200 SILVEIRAS";1
"355210 SOCORRO";2
"355220 SOROCABA";152
"355230 SUD MENNUCCI";3
"355240 SUMARE";38
"355250 SUZANO";37
"355280 TABOAO DA SERRA";10
"355310 TAIACU";2
"355330 TAMBAU";3
"355340 TANABI";9
"355350 TAPIRAI";5
"355365 TAQUARAL";5
"355370 TAQUARITINGA";4
"355385 TAQUARIVAI";3
"355395 TARUMA";1
"355400 TATUI";5
"355410 TAUBATE";107
"355450 TIETE";1
"355480 TREMEMBE";2
"355500 TUPA";4
"355540 UBATUBA";7
"355560 UCHOA";6
"355600 URUPES";6
"355620 VALINHOS";18
