CNES - Recursos Físicos - Ambulatório - Consultórios - Brasil
Clínica Básica por Município
Período:Jul/2024
"Município";"Clínica_Básica"
"220850 PORTO";10
"220860 PRATA DO PIAUI";4
"220865 QUEIMADA NOVA";7
"220870 REDENCAO DO GURGUEIA";4
"220880 REGENERACAO";17
"220885 RIACHO FRIO";3
"220890 RIBEIRO GONCALVES";6
"220900 RIO GRANDE DO PIAUI";9
"220910 SANTA CRUZ DO PIAUI";3
"220915 SANTA CRUZ DOS MILAGRES";6
"220920 SANTA FILOMENA";5
"220930 SANTA LUZ";7
"220935 SANTANA DO PIAUI";2
"220937 SANTA ROSA DO PIAUI";1
"220940 SANTO ANTONIO DE LISBOA";6
"220945 SANTO ANTONIO DOS MILAGRES";6
"220950 SANTO INACIO DO PIAUI";3
"220955 SAO BRAZ DO PIAUI";4
"220960 SAO FELIX DO PIAUI";4
"220965 SAO FRANCISCO DE ASSIS DO PIAUI";4
"220970 SAO FRANCISCO DO PIAUI";5
"220975 SAO GONCALO DO GURGUEIA";5
"220980 SAO GONCALO DO PIAUI";3
"220985 SAO JOAO DA CANABRAVA";8
"220987 SAO JOAO DA FRONTEIRA";4
"220990 SAO JOAO DA SERRA";4
"220995 SAO JOAO DA VARJOTA";6
"220997 SAO JOAO DO ARRAIAL";11
"221000 SAO JOAO DO PIAUI";31
"221005 SAO JOSE DO DIVINO";4
"221010 SAO JOSE DO PEIXE";4
"221020 SAO JOSE DO PIAUI";5
"221030 SAO JULIAO";3
"221035 SAO LOURENCO DO PIAUI";12
"221037 SAO LUIS DO PIAUI";4
"221038 SAO MIGUEL DA BAIXA GRANDE";3
"221039 SAO MIGUEL DO FIDALGO";4
"221040 SAO MIGUEL DO TAPUIO";29
"221050 SAO PEDRO DO PIAUI";24
"221060 SAO RAIMUNDO NONATO";45
"221062 SEBASTIAO BARROS";6
"221063 SEBASTIAO LEAL";5
"221065 SIGEFREDO PACHECO";7
"221070 SIMOES";12
"221080 SIMPLICIO MENDES";17
"221090 SOCORRO DO PIAUI";6
"221093 SUSSUAPARA";4
"221095 TAMBORIL DO PIAUI";1
"221097 TANQUE DO PIAUI";7
"221100 TERESINA";687
"221110 UNIAO";16
"221120 URUCUI";18
"221130 VALENCA DO PIAUI";24
"221140 VARZEA GRANDE";5
"221160 VILA NOVA DO PIAUI";4
"221170 WALL FERRAZ";6
"230010 ABAIARA";6
"230015 ACARAPE";13
"230020 ACARAU";40
"230030 ACOPIARA";51
"230040 AIUABA";19
"230050 ALCANTARAS";9
"230060 ALTANEIRA";6
"230070 ALTO SANTO";30
"230075 AMONTADA";19
"230080 ANTONINA DO NORTE";2
"230090 APUIARES";8
"230100 AQUIRAZ";39
"230110 ARACATI";47
"230120 ARACOIABA";36
"230125 ARARENDA";13
"230130 ARARIPE";9
"230140 ARATUBA";5
"230150 ARNEIROZ";5
"230160 ASSARE";20
"230170 AURORA";21
"230180 BAIXIO";1
"230185 BANABUIU";10
"230190 BARBALHA";31
"230195 BARREIRA";19
"230200 BARRO";13
"230205 BARROQUINHA";13
"230210 BATURITE";30
"230220 BEBERIBE";29
"230230 BELA CRUZ";18
"230240 BOA VIAGEM";21
"230250 BREJO SANTO";53
"230260 CAMOCIM";42
"230270 CAMPOS SALES";14
"230280 CANINDE";29
"230290 CAPISTRANO";12
"230300 CARIDADE";7
"230310 CARIRE";14
"230320 CARIRIACU";16
"230330 CARIUS";12
"230340 CARNAUBAL";18
"230350 CASCAVEL";30
"230360 CATARINA";10
"230365 CATUNDA";10
"230370 CAUCAIA";112
"230380 CEDRO";18
"230390 CHAVAL";9
"230393 CHORO";26
"230395 CHOROZINHO";16
"230400 COREAU";20
"230410 CRATEUS";67
"230420 CRATO";121
"230423 CROATA";10
"230425 CRUZ";34
"230426 DEPUTADO IRAPUAN PINHEIRO";9
"230427 ERERE";4
"230428 EUSEBIO";99
"230430 FARIAS BRITO";22
"230435 FORQUILHA";16
"230440 FORTALEZA";1919
"230445 FORTIM";9
"230450 FRECHEIRINHA";10
"230460 GENERAL SAMPAIO";10
"230465 GRACA";11
"230470 GRANJA";25
"230480 GRANJEIRO";5
"230490 GROAIRAS";21
"230495 GUAIUBA";21
"230500 GUARACIABA DO NORTE";35
"230510 GUARAMIRANGA";5
"230520 HIDROLANDIA";19
"230523 HORIZONTE";41
"230526 IBARETAMA";11
"230530 IBIAPINA";19
"230533 IBICUITINGA";9
"230535 ICAPUI";12
"230540 ICO";16
"230550 IGUATU";55
"230560 INDEPENDENCIA";27
"230565 IPAPORANGA";17
"230570 IPAUMIRIM";2
"230580 IPU";31
"230590 IPUEIRAS";37
"230600 IRACEMA";11
"230610 IRAUCUBA";13
"230620 ITAICABA";9
"230625 ITAITINGA";36
"230630 ITAPAGE";24
"230640 ITAPIPOCA";43
"230650 ITAPIUNA";10
"230655 ITAREMA";25
"230660 ITATIRA";20
"230670 JAGUARETAMA";14
"230680 JAGUARIBARA";13
"230690 JAGUARIBE";36
"230700 JAGUARUANA";20
"230710 JARDIM";13
"230720 JATI";8
"230725 JIJOCA DE JERICOACOARA";27
"230730 JUAZEIRO DO NORTE";195
"230740 JUCAS";14
"230750 LAVRAS DA MANGABEIRA";14
"230760 LIMOEIRO DO NORTE";64
"230763 MADALENA";5
"230765 MARACANAU";202
"230770 MARANGUAPE";71
"230780 MARCO";11
"230790 MARTINOPOLE";11
"230800 MASSAPE";23
"230810 MAURITI";43
"230820 MERUOCA";12
"230830 MILAGRES";19
"230835 MILHA";14
"230837 MIRAIMA";10
"230840 MISSAO VELHA";22
"230850 MOMBACA";37
"230860 MONSENHOR TABOSA";15
"230870 MORADA NOVA";35
"230880 MORAUJO";9
"230890 MORRINHOS";10
"230900 MUCAMBO";9
"230910 MULUNGU";8
"230920 NOVA OLINDA";10
"230930 NOVA RUSSAS";21
"230940 NOVO ORIENTE";33
"230945 OCARA";27
"230950 OROS";19
"230960 PACAJUS";40
"230970 PACATUBA";35
"230980 PACOTI";23
"230990 PACUJA";7
"231000 PALHANO";8
"231010 PALMACIA";2
"231020 PARACURU";23
"231025 PARAIPABA";23
"231030 PARAMBU";19
"231040 PARAMOTI";8
"231050 PEDRA BRANCA";40
"231060 PENAFORTE";15
"231070 PENTECOSTE";20
"231080 PEREIRO";15
"231085 PINDORETAMA";12
"231090 PIQUET CARNEIRO";14
"231095 PIRES FERREIRA";7
"231100 PORANGA";10
"231110 PORTEIRAS";13
"231120 POTENGI";4
"231123 POTIRETAMA";4
"231126 QUITERIANOPOLIS";39
"231130 QUIXADA";61
"231135 QUIXELO";11
"231140 QUIXERAMOBIM";42
"231150 QUIXERE";14
"231160 REDENCAO";28
"231170 RERIUTABA";16
"231180 RUSSAS";48
"231190 SABOEIRO";7
"231195 SALITRE";11
"231200 SANTANA DO ACARAU";7
"231210 SANTANA DO CARIRI";6
"231220 SANTA QUITERIA";16
"231230 SAO BENEDITO";42
"231240 SAO GONCALO DO AMARANTE";54
"231250 SAO JOAO DO JAGUARIBE";7
"231260 SAO LUIS DO CURU";3
"231270 SENADOR POMPEU";36
"231280 SENADOR SA";8
"231290 SOBRAL";318
"231300 SOLONOPOLE";28
"231310 TABULEIRO DO NORTE";20
"231320 TAMBORIL";16
"231325 TARRAFAS";4
"231330 TAUA";46
"231335 TEJUCUOCA";26
"231340 TIANGUA";74
"231350 TRAIRI";35
"231355 TURURU";11
"231360 UBAJARA";33
"231370 UMARI";1
"231375 UMIRIM";10
"231380 URUBURETAMA";15
"231390 URUOCA";12
"231395 VARJOTA";11
"231400 VARZEA ALEGRE";15
"231410 VICOSA DO CEARA";26
"240010 ACARI";12
"240020 ACU";39
"240030 AFONSO BEZERRA";8
"240040 AGUA NOVA";2
"240050 ALEXANDRIA";11
"240060 ALMINO AFONSO";4
"240070 ALTO DO RODRIGUES";31
"240080 ANGICOS";6
"240090 ANTONIO MARTINS";5
"240100 APODI";22
"240110 AREIA BRANCA";19
"240120 ARES";10
"240130 AUGUSTO SEVERO";6
"240140 BAIA FORMOSA";8
"240145 BARAUNA";18
"240150 BARCELONA";4
"240160 BENTO FERNANDES";4
"240165 BODO";4
"240170 BOM JESUS";13
"240180 BREJINHO";13
"240185 CAICARA DO NORTE";6
"240190 CAICARA DO RIO DO VENTO";4
"240200 CAICO";47
"240210 CAMPO REDONDO";21
"240220 CANGUARETAMA";21
"240230 CARAUBAS";13
"240240 CARNAUBA DOS DANTAS";6
"240250 CARNAUBAIS";5
"240260 CEARA-MIRIM";54
"240270 CERRO CORA";11
"240280 CORONEL EZEQUIEL";3
"240290 CORONEL JOAO PESSOA";5
"240300 CRUZETA";3
"240310 CURRAIS NOVOS";45
"240320 DOUTOR SEVERIANO";6
"240325 PARNAMIRIM";135
"240330 ENCANTO";6
"240340 EQUADOR";6
"240350 ESPIRITO SANTO";8
"240360 EXTREMOZ";19
"240370 FELIPE GUERRA";5
"240375 FERNANDO PEDROZA";3
"240380 FLORANIA";9
"240390 FRANCISCO DANTAS";4
"240400 FRUTUOSO GOMES";14
"240410 GALINHOS";4
"240420 GOIANINHA";25
"240430 GOVERNADOR DIX-SEPT ROSADO";12
"240440 GROSSOS";10
"240450 GUAMARE";33
"240460 IELMO MARINHO";15
"240470 IPANGUACU";11
"240480 IPUEIRA";2
"240485 ITAJA";6
"240490 ITAU";4
"240510 JANDAIRA";9
"240520 JANDUIS";7
"240530 JANUARIO CICCO";8
"240540 JAPI";4
"240550 JARDIM DE ANGICOS";4
"240560 JARDIM DE PIRANHAS";10
"240570 JARDIM DO SERIDO";7
"240580 JOAO CAMARA";36
"240590 JOAO DIAS";3
"240600 JOSE DA PENHA";5
"240610 JUCURUTU";16
"240615 JUNDIA";9
"240620 LAGOA D'ANTA";10
"240630 LAGOA DE PEDRAS";4
"240640 LAGOA DE VELHOS";3
"240650 LAGOA NOVA";6
"240660 LAGOA SALGADA";5
"240670 LAJES";5
"240680 LAJES PINTADAS";5
"240690 LUCRECIA";5
"240700 LUIS GOMES";4
"240710 MACAIBA";39
"240720 MACAU";23
"240725 MAJOR SALES";6
"240730 MARCELINO VIEIRA";4
"240740 MARTINS";8
"240750 MAXARANGUAPE";7
"240760 MESSIAS TARGINO";3
"240770 MONTANHAS";5
"240780 MONTE ALEGRE";20
"240790 MONTE DAS GAMELEIRAS";6
"240800 MOSSORO";183
"240810 NATAL";1406
"240820 NISIA FLORESTA";15
"240830 NOVA CRUZ";34
"240840 OLHO-D'AGUA DO BORGES";10
"240850 OURO BRANCO";3
"240860 PARANA";3
"240870 PARAU";4
"240880 PARAZINHO";9
"240890 PARELHAS";21
"240895 RIO DO FOGO";9
"240910 PASSA E FICA";12
"240920 PASSAGEM";5
"240930 PATU";6
"240933 SANTA MARIA";7
"240940 PAU DOS FERROS";27
"240950 PEDRA GRANDE";7
"240960 PEDRA PRETA";4
"240970 PEDRO AVELINO";6
"240980 PEDRO VELHO";10
"240990 PENDENCIAS";12
"241000 PILOES";7
"241010 POCO BRANCO";13
"241020 PORTALEGRE";2
"241025 PORTO DO MANGUE";4
"241030 SERRA CAIADA";17
"241040 PUREZA";7
"241050 RAFAEL FERNANDES";7
"241060 RAFAEL GODEIRO";3
"241070 RIACHO DA CRUZ";3
"241080 RIACHO DE SANTANA";4
"241090 RIACHUELO";5
"241100 RODOLFO FERNANDES";4
"241105 TIBAU";6
"241110 RUY BARBOSA";7
"241120 SANTA CRUZ";27
"241140 SANTANA DO MATOS";12
"241142 SANTANA DO SERIDO";5
"241150 SANTO ANTONIO";24
"241160 SAO BENTO DO NORTE";2
"241170 SAO BENTO DO TRAIRI";2
"241180 SAO FERNANDO";5
"241190 SAO FRANCISCO DO OESTE";2
"241200 SAO GONCALO DO AMARANTE";105
"241210 SAO JOAO DO SABUGI";7
"241220 SAO JOSE DE MIPIBU";35
"241230 SAO JOSE DO CAMPESTRE";5
"241240 SAO JOSE DO SERIDO";4
"241250 SAO MIGUEL";11
"241255 SAO MIGUEL DO GOSTOSO";9
"241260 SAO PAULO DO POTENGI";10
"241270 SAO PEDRO";9
"241280 SAO RAFAEL";11
"241290 SAO TOME";15
"241300 SAO VICENTE";8
"241310 SENADOR ELOI DE SOUZA";6
"241320 SENADOR GEORGINO AVELINO";3
"241330 SERRA DE SAO BENTO";3
"241335 SERRA DO MEL";10
"241340 SERRA NEGRA DO NORTE";17
"241350 SERRINHA";6
"241355 SERRINHA DOS PINTOS";7
"241360 SEVERIANO MELO";2
"241370 SITIO NOVO";4
"241380 TABOLEIRO GRANDE";3
"241390 TAIPU";8
"241400 TANGARA";8
"241410 TENENTE ANANIAS";10
"241415 TENENTE LAURENTINO CRUZ";17
"241420 TIBAU DO SUL";10
"241430 TIMBAUBA DOS BATISTAS";3
"241440 TOUROS";14
"241445 TRIUNFO POTIGUAR";2
"241450 UMARIZAL";5
"241460 UPANEMA";16
"241470 VARZEA";3
"241475 VENHA-VER";8
"241480 VERA CRUZ";9
"241490 VICOSA";6
"241500 VILA FLOR";3
"250010 AGUA BRANCA";2
"250020 AGUIAR";4
"250030 ALAGOA GRANDE";24
"250040 ALAGOA NOVA";15
"250050 ALAGOINHA";3
"250053 ALCANTIL";7
"250060 ALHANDRA";15
"250070 SAO JOAO DO RIO DO PEIXE";20
"250073 AMPARO";12
"250077 APARECIDA";6
"250080 ARACAGI";11
"250090 ARARA";8
"250100 ARARUNA";17
"250110 AREIA";18
"250115 AREIA DE BARAUNAS";4
"250130 AROEIRAS";9
"250135 ASSUNCAO";7
"250140 BAIA DA TRAICAO";25
"250150 BANANEIRAS";22
"250153 BARAUNA";3
"250157 BARRA DE SANTANA";14
"250160 BARRA DE SANTA ROSA";15
"250170 BARRA DE SAO MIGUEL";2
"250180 BAYEUX";54
"250190 BELEM";2
"250200 BELEM DO BREJO DO CRUZ";17
"250205 BERNARDINO BATISTA";7
"250210 BOA VENTURA";3
"250215 BOA VISTA";9
"250220 BOM JESUS";6
"250230 BOM SUCESSO";9
"250240 BONITO DE SANTA FE";6
"250250 BOQUEIRAO";20
"250260 IGARACY";4
"250270 BORBOREMA";2
"250280 BREJO DO CRUZ";18
"250290 BREJO DOS SANTOS";14
"250300 CAAPORA";11
"250310 CABACEIRAS";6
"250320 CABEDELO";35
"250330 CACHOEIRA DOS INDIOS";7
"250340 CACIMBA DE AREIA";3
"250350 CACIMBA DE DENTRO";9
"250355 CACIMBAS";10
"250360 CAICARA";6
"250370 CAJAZEIRAS";53
"250375 CAJAZEIRINHAS";4
"250380 CALDAS BRANDAO";3
"250390 CAMALAU";1
"250400 CAMPINA GRANDE";352
"250403 CAPIM";7
"250407 CARAUBAS";5
"250410 CARRAPATEIRA";4
"250415 CASSERENGUE";7
"250420 CATINGUEIRA";8
"250430 CATOLE DO ROCHA";31
"250435 CATURITE";5
"250440 CONCEICAO";16
"250450 CONDADO";7
"250460 CONDE";6
"250470 CONGO";7
"250480 COREMAS";26
"250485 COXIXOLA";1
"250490 CRUZ DO ESPIRITO SANTO";7
"250500 CUBATI";6
"250510 CUITE";12
"250520 CUITEGI";3
"250523 CUITE DE MAMANGUAPE";3
"250527 CURRAL DE CIMA";2
"250530 CURRAL VELHO";3
"250535 DAMIAO";3
"250540 DESTERRO";7
"250550 VISTA SERRANA";6
"250560 DIAMANTE";9
"250570 DONA INES";9
"250580 DUAS ESTRADAS";4
"250590 EMAS";7
"250600 ESPERANCA";28
"250610 FAGUNDES";2
"250620 FREI MARTINHO";45
"250625 GADO BRAVO";3
"250630 GUARABIRA";28
"250640 GURINHEM";9
"250650 GURJAO";9
"250660 IBIARA";2
"250670 IMACULADA";4
"250680 INGA";3
"250690 ITABAIANA";30
"250700 ITAPORANGA";30
"250710 ITAPOROROCA";7
"250720 ITATUBA";4
"250730 JACARAU";10
"250740 JERICO";10
"250750 JOAO PESSOA";1448
"250760 JUAREZ TAVORA";2
"250770 JUAZEIRINHO";11
"250780 JUNCO DO SERIDO";4
"250790 JURIPIRANGA";11
"250800 JURU";8
"250810 LAGOA";5
"250820 LAGOA DE DENTRO";5
"250830 LAGOA SECA";19
"250840 LASTRO";3
"250850 LIVRAMENTO";10
"250855 LOGRADOURO";9
"250860 LUCENA";5
"250870 MAE D'AGUA";2
"250880 MALTA";4
"250890 MAMANGUAPE";35
"250900 MANAIRA";6
"250905 MARCACAO";8
"250910 MARI";2
"250915 MARIZOPOLIS";5
"250920 MASSARANDUBA";9
"250930 MATARACA";6
"250937 MATO GROSSO";5
"250939 MATUREIA";2
"250940 MOGEIRO";7
"250950 MONTADAS";7
"250960 MONTE HOREBE";6
"250970 MONTEIRO";51
"250980 MULUNGU";12
"250990 NATUBA";3
"251000 NAZAREZINHO";4
"251020 NOVA OLINDA";5
"251040 OLHO D'AGUA";2
"251050 OLIVEDOS";3
"251060 OURO VELHO";3
"251065 PARARI";5
"251070 PASSAGEM";2
"251080 PATOS";135
"251090 PAULISTA";11
"251100 PEDRA BRANCA";3
"251110 PEDRA LAVRADA";2
"251120 PEDRAS DE FOGO";26
"251130 PIANCO";53
"251140 PICUI";18
"251150 PILAR";16
"251160 PILOES";1
"251170 PILOEZINHOS";3
"251180 PIRPIRITUBA";3
"251190 PITIMBU";11
"251200 POCINHOS";14
"251203 POCO DANTAS";4
"251207 POCO DE JOSE DE MOURA";11
"251210 POMBAL";40
"251230 PRINCESA ISABEL";27
"251240 PUXINANA";13
"251250 QUEIMADAS";15
"251260 QUIXABA";3
"251270 REMIGIO";11
"251272 PEDRO REGIS";7
"251274 RIACHAO";7
"251275 RIACHAO DO BACAMARTE";5
"251276 RIACHAO DO POCO";6
"251278 RIACHO DE SANTO ANTONIO";15
"251280 RIACHO DOS CAVALOS";2
"251290 RIO TINTO";19
"251300 SALGADINHO";7
"251310 SALGADO DE SAO FELIX";6
"251315 SANTA CECILIA";2
"251320 SANTA CRUZ";6
"251330 SANTA HELENA";2
"251335 SANTA INES";9
"251340 SANTA LUZIA";9
"251350 SANTANA DE MANGUEIRA";8
"251360 SANTANA DOS GARROTES";9
"251365 JOCA CLAUDINO";4
"251370 SANTA RITA";52
"251380 SANTA TERESINHA";6
"251385 SANTO ANDRE";6
"251390 SAO BENTO";11
"251392 SAO BENTINHO";10
"251396 SAO DOMINGOS";2
"251398 SAO FRANCISCO";4
"251400 SAO JOAO DO CARIRI";5
"251410 SAO JOAO DO TIGRE";4
"251420 SAO JOSE DA LAGOA TAPADA";6
"251430 SAO JOSE DE CAIANA";3
"251440 SAO JOSE DE ESPINHARAS";5
"251445 SAO JOSE DOS RAMOS";4
"251450 SAO JOSE DE PIRANHAS";12
"251455 SAO JOSE DE PRINCESA";6
"251465 SAO JOSE DO BREJO DO CRUZ";1
"251470 SAO JOSE DO SABUGI";5
"251490 SAO MAMEDE";4
"251500 SAO MIGUEL DE TAIPU";8
"251510 SAO SEBASTIAO DE LAGOA DE ROCA";8
"251520 SAO SEBASTIAO DO UMBUZEIRO";2
"251530 SAPE";25
"251550 SERRA BRANCA";10
"251560 SERRA DA RAIZ";3
"251570 SERRA GRANDE";5
"251580 SERRA REDONDA";6
"251590 SERRARIA";2
"251593 SERTAOZINHO";7
"251597 SOBRADO";4
"251600 SOLANEA";19
"251610 SOLEDADE";8
"251615 SOSSEGO";1
"251620 SOUSA";42
"251630 SUME";17
"251640 TACIMA";12
"251650 TAPEROA";14
"251660 TAVARES";16
"251670 TEIXEIRA";15
"251675 TENORIO";6
"251680 TRIUNFO";11
"251690 UIRAUNA";30
"251700 UMBUZEIRO";5
"251710 VARZEA";2
"251720 VIEIROPOLIS";2
"251740 ZABELE";1
"260005 ABREU E LIMA";34
"260010 AFOGADOS DA INGAZEIRA";21
"260020 AFRANIO";27
"260030 AGRESTINA";9
"260040 AGUA PRETA";17
"260050 AGUAS BELAS";26
"260060 ALAGOINHA";11
"260070 ALIANCA";17
"260080 ALTINHO";17
"260090 AMARAJI";14
"260100 ANGELIM";10
"260105 ARACOIABA";13
"260110 ARARIPINA";46
"260120 ARCOVERDE";60
"260130 BARRA DE GUABIRABA";3
"260140 BARREIROS";11
"260150 BELEM DE MARIA";12
"260160 BELEM DE SAO FRANCISCO";16
"260170 BELO JARDIM";55
"260180 BETANIA";9
"260190 BEZERROS";61
"260200 BODOCO";15
"260210 BOM CONSELHO";23
"260220 BOM JARDIM";20
"260230 BONITO";19
"260240 BREJAO";6
"260250 BREJINHO";1
"260260 BREJO DA MADRE DE DEUS";25
"260270 BUENOS AIRES";7
"260280 BUIQUE";27
"260290 CABO DE SANTO AGOSTINHO";172
"260300 CABROBO";24
"260310 CACHOEIRINHA";11
"260320 CAETES";16
"260330 CALCADO";6
"260340 CALUMBI";2
"260345 CAMARAGIBE";86
"260350 CAMOCIM DE SAO FELIX";22
"260360 CAMUTANGA";6
"260370 CANHOTINHO";20
"260380 CAPOEIRAS";7
"260390 CARNAIBA";13
"260392 CARNAUBEIRA DA PENHA";9
"260400 CARPINA";42
"260410 CARUARU";157
"260415 CASINHAS";7
"260420 CATENDE";27
"260430 CEDRO";10
"260440 CHA DE ALEGRIA";6
"260450 CHA GRANDE";8
"260460 CONDADO";18
"260470 CORRENTES";3
"260480 CORTES";12
"260490 CUMARU";7
"260500 CUPIRA";15
"260510 CUSTODIA";35
"260515 DORMENTES";23
"260520 ESCADA";49
"260530 EXU";13
"260540 FEIRA NOVA";12
"260545 FERNANDO DE NORONHA";9
"260550 FERREIROS";9
"260560 FLORES";9
"260570 FLORESTA";37
"260580 FREI MIGUELINHO";11
"260590 GAMELEIRA";10
"260600 GARANHUNS";67
"260610 GLORIA DO GOITA";12
"260620 GOIANA";120
"260630 GRANITO";6
"260640 GRAVATA";49
"260650 IATI";8
"260660 IBIMIRIM";15
"260670 IBIRAJUBA";9
"260680 IGARASSU";54
"260690 IGUARACY";7
"260700 INAJA";12
"260710 INGAZEIRA";5
"260720 IPOJUCA";81
"260730 IPUBI";19
"260740 ITACURUBA";10
"260750 ITAIBA";13
"260760 ILHA DE ITAMARACA";19
"260765 ITAMBE";19
"260770 ITAPETIM";9
"260775 ITAPISSUMA";32
"260780 ITAQUITINGA";15
"260790 JABOATAO DOS GUARARAPES";450
"260795 JAQUEIRA";12
"260800 JATAUBA";10
"260805 JATOBA";14
"260810 JOAO ALFREDO";20
"260820 JOAQUIM NABUCO";7
"260825 JUCATI";13
"260830 JUPI";7
"260840 JUREMA";7
"260845 LAGOA DO CARRO";11
"260850 LAGOA DE ITAENGA";22
"260860 LAGOA DO OURO";10
"260870 LAGOA DOS GATOS";8
"260875 LAGOA GRANDE";14
"260880 LAJEDO";19
"260890 LIMOEIRO";50
"260900 MACAPARANA";19
"260910 MACHADOS";11
"260915 MANARI";10
"260920 MARAIAL";4
"260930 MIRANDIBA";10
"260940 MORENO";11
"260950 NAZARE DA MATA";20
"260960 OLINDA";132
"260970 OROBO";19
"260980 OROCO";28
"260990 OURICURI";39
"261000 PALMARES";71
"261010 PALMEIRINA";1
"261020 PANELAS";17
"261030 PARANATAMA";10
"261040 PARNAMIRIM";26
"261050 PASSIRA";23
"261060 PAUDALHO";42
"261070 PAULISTA";186
"261080 PEDRA";11
"261090 PESQUEIRA";51
"261100 PETROLANDIA";26
"261110 PETROLINA";608
"261120 POCAO";5
"261130 POMBOS";17
"261140 PRIMAVERA";4
"261150 QUIPAPA";18
"261153 QUIXABA";7
"261160 RECIFE";874
"261170 RIACHO DAS ALMAS";2
"261180 RIBEIRAO";22
"261190 RIO FORMOSO";12
"261200 SAIRE";13
"261210 SALGADINHO";8
"261220 SALGUEIRO";31
"261230 SALOA";17
"261240 SANHARO";27
"261245 SANTA CRUZ";4
"261247 SANTA CRUZ DA BAIXA VERDE";7
"261250 SANTA CRUZ DO CAPIBARIBE";45
"261255 SANTA FILOMENA";12
"261260 SANTA MARIA DA BOA VISTA";5
"261270 SANTA MARIA DO CAMBUCA";3
"261280 SANTA TEREZINHA";9
"261290 SAO BENEDITO DO SUL";2
"261300 SAO BENTO DO UNA";33
"261310 SAO CAITANO";29
"261320 SAO JOAO";9
"261330 SAO JOAQUIM DO MONTE";16
"261340 SAO JOSE DA COROA GRANDE";14
"261350 SAO JOSE DO BELMONTE";24
"261360 SAO JOSE DO EGITO";34
"261370 SAO LOURENCO DA MATA";41
"261380 SAO VICENTE FERRER";3
"261390 SERRA TALHADA";46
"261400 SERRITA";20
"261410 SERTANIA";29
"261420 SIRINHAEM";19
"261430 MOREILANDIA";7
"261440 SOLIDAO";6
"261450 SURUBIM";34
"261460 TABIRA";17
"261470 TACAIMBO";10
"261480 TACARATU";13
"261485 TAMANDARE";12
"261500 TAQUARITINGA DO NORTE";6
"261510 TEREZINHA";10
"261520 TERRA NOVA";8
"261530 TIMBAUBA";64
"261540 TORITAMA";15
"261550 TRACUNHAEM";8
"261560 TRINDADE";11
"261570 TRIUNFO";14
"261580 TUPANATINGA";13
"261590 TUPARETAMA";7
"261600 VENTUROSA";12
"261610 VERDEJANTE";5
"261618 VERTENTE DO LERIO";6
"261620 VERTENTES";23
"261630 VICENCIA";10
"261640 VITORIA DE SANTO ANTAO";134
"261650 XEXEU";9
"270010 AGUA BRANCA";6
"270020 ANADIA";6
"270030 ARAPIRACA";238
"270040 ATALAIA";13
"270050 BARRA DE SANTO ANTONIO";16
"270060 BARRA DE SAO MIGUEL";13
"270070 BATALHA";13
"270080 BELEM";10
"270090 BELO MONTE";10
"270100 BOCA DA MATA";16
"270110 BRANQUINHA";4
"270120 CACIMBINHAS";9
"270130 CAJUEIRO";10
"270135 CAMPESTRE";6
"270140 CAMPO ALEGRE";42
"270150 CAMPO GRANDE";3
"270160 CANAPI";11
"270170 CAPELA";14
"270180 CARNEIROS";7
"270190 CHA PRETA";5
"270200 COITE DO NOIA";13
"270210 COLONIA LEOPOLDINA";24
"270220 COQUEIRO SECO";2
"270230 CORURIPE";54
"270235 CRAIBAS";15
"270240 DELMIRO GOUVEIA";76
"270250 DOIS RIACHOS";8
"270255 ESTRELA DE ALAGOAS";6
"270260 FEIRA GRANDE";12
"270270 FELIZ DESERTO";2
"270280 FLEXEIRAS";9
"270290 GIRAU DO PONCIANO";21
"270300 IBATEGUARA";2
"270310 IGACI";11
"270320 IGREJA NOVA";20
"270330 INHAPI";8
"270340 JACARE DOS HOMENS";8
"270350 JACUIPE";7
"270360 JAPARATINGA";1
"270370 JARAMATAIA";7
"270375 JEQUIA DA PRAIA";9
"270380 JOAQUIM GOMES";14
"270390 JUNDIA";5
"270400 JUNQUEIRO";20
"270410 LAGOA DA CANOA";5
"270420 LIMOEIRO DE ANADIA";18
"270430 MACEIO";719
"270440 MAJOR ISIDORO";6
"270450 MARAGOGI";29
"270460 MARAVILHA";2
"270470 MARECHAL DEODORO";16
"270480 MARIBONDO";6
"270490 MAR VERMELHO";5
"270500 MATA GRANDE";5
"270510 MATRIZ DE CAMARAGIBE";22
"270520 MESSIAS";7
"270540 MONTEIROPOLIS";7
"270550 MURICI";15
"270560 NOVO LINO";11
"270570 OLHO D'AGUA DAS FLORES";13
"270580 OLHO D'AGUA DO CASADO";2
"270590 OLHO D'AGUA GRANDE";5
"270600 OLIVENCA";6
"270610 OURO BRANCO";6
"270620 PALESTINA";5
"270630 PALMEIRA DOS INDIOS";40
"270640 PAO DE ACUCAR";28
"270642 PARICONHA";16
"270644 PARIPUEIRA";7
"270650 PASSO DE CAMARAGIBE";10
"270660 PAULO JACINTO";1
"270670 PENEDO";43
"270680 PIACABUCU";19
"270690 PILAR";19
"270700 PINDOBA";5
"270710 PIRANHAS";14
"270720 POCO DAS TRINCHEIRAS";18
"270730 PORTO CALVO";26
"270740 PORTO DE PEDRAS";17
"270750 PORTO REAL DO COLEGIO";20
"270760 QUEBRANGULO";16
"270770 RIO LARGO";19
"270780 ROTEIRO";9
"270790 SANTA LUZIA DO NORTE";5
